Run, Time Trad, Time ToA,,, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,1.604097,2.870439,FALSE,2.870439,0.223642,2.646183,12,12,True,1,1,23,tidy_all(library),False
2,1.72851,4.867003,FALSE,3.868721,0.278258,4.588234,13,13,True,2,2,68,tidy_all(library),False
3,0.280113,0.848607,FALSE,2.8620163333,0.358125,0.489939,5,5,True,3,3,105,tidy_all(library),False
4,6.789828,13.813208,FALSE,5.59981425,0.424344,13.388361,13,13,True,4,4,106,tidy_all(library),False
5,0.258171,1.030771,FALSE,4.6860056,0.539877,0.490328,4,4,True,5,5,5,tidy_all(library),False
6,4.998855,15.515917,FALSE,6.4909908333,0.604129,14.911235,13,13,True,6,6,102,tidy_all(library),False
7,0.265758,1.401432,FALSE,5.763911,0.699923,0.700934,6,6,True,7,7,145,tidy_all(library),False
8,2.001108,3.931824,FALSE,5.534900125,0.855505,3.075705,7,7,True,8,8,19,tidy_all(library),False
9,1.878442,2.912253,FALSE,5.2434948889,0.895634,2.016047,9,9,True,9,9,47,tidy_all(library),False
10,1.779663,1.606312,TRUE,4.8797766,0.953388,0.652296,6,6,True,10,10,15,tidy_all(library),False
11,6.768914,42.98849,FALSE,8.3442050909,1.155643,41.832268,11,11,True,11,11,101,tidy_all(library),False
12,0.274281,1.929155,FALSE,7.8096175833,1.189687,0.738672,5,5,True,12,12,60,tidy_all(library),False
13,0.292101,2.440585,FALSE,7.3966150769,1.209118,1.230902,6,6,True,13,13,44,tidy_all(library),False
14,2.183921,4.654742,FALSE,7.200767,1.376854,3.277338,11,11,True,14,14,48,tidy_all(library),False
15,1.363728,5.03426,FALSE,7.0563332,1.466289,3.567414,16,16,True,15,15,133,tidy_all(library),False
16,0.248186,1.718182,FALSE,6.72269875,1.71796,0,2,6,False,13,15,45,tidy_all(library),False
17,2.632552,4.050487,FALSE,6.5655098235,1.684542,2.365409,7,7,True,16,16,69,tidy_all(library),False
18,4.438156,16.69246,FALSE,7.1281181667,2.102983,14.588832,10,10,True,17,17,134,tidy_all(library),False
19,0.347467,3.364574,FALSE,6.9300368947,1.909194,1.45478,8,8,True,18,18,140,tidy_all(library),False
20,1.915544,4.084779,FALSE,6.787774,1.883938,2.200209,9,9,True,19,19,89,tidy_all(library),False
21,1.018818,5.291959,FALSE,6.7165447143,2.151158,3.14022,15,15,True,20,20,88,tidy_all(library),False
22,1.690697,8.050832,FALSE,6.7771941364,2.309303,5.740919,13,13,True,21,21,87,tidy_all(library),False
23,5.001927,2.973636,TRUE,6.6118220435,2.973381,0,13,13,False,6,21,102,tidy_all(library),False
