Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0.367867,0.920779,0.239523,0.680545,21,20,True,1,1,0,tidy_all(library),False
2,0.518258,1.199214,0.300044,0.898635,20,20,True,2,2,0,tidy_all(library),False
3,0.369364,0.43886,0.438558,0,21,20,False,1,2,0,tidy_all(library),False
4,0.443181,1.32013,0.394033,0.925423,19,19,True,3,3,0,tidy_all(library),False
5,0.372956,1.307246,0.464615,0.841648,20,20,True,4,4,0,tidy_all(library),False
6,0.366911,0.675673,0.675431,0,21,20,False,1,4,0,tidy_all(library),False
7,0.37235,0.660572,0.660307,0,21,20,False,1,4,0,tidy_all(library),False
8,0.373769,0.673554,0.673293,0,21,20,False,1,4,0,tidy_all(library),False
9,0.517395,0.656748,0.656526,0,20,20,False,2,4,0,tidy_all(library),False
10,0.51989,0.65292,0.652635,0,20,20,False,2,4,0,tidy_all(library),False
11,0.447958,0.671865,0.671609,0,19,19,False,3,4,0,tidy_all(library),False
12,0.372024,0.654648,0.653335,0,20,20,False,4,4,0,tidy_all(library),False
13,0.367633,0.674012,0.671801,0,21,20,False,1,4,0,tidy_all(library),False
14,0.525079,0.665146,0.664889,0,20,20,False,2,4,0,tidy_all(library),False
15,0.368625,0.669106,0.668846,0,21,20,False,1,4,0,tidy_all(library),False
16,0.367036,0.6659,0.665535,0,21,20,False,1,4,0,tidy_all(library),False
17,0.441253,0.677812,0.677556,0,19,19,False,3,4,0,tidy_all(library),False
18,0.368069,0.668489,0.668199,0,21,20,False,1,4,0,tidy_all(library),False
19,0.378365,0.668018,0.667752,0,20,20,False,4,4,0,tidy_all(library),False
20,0.375961,0.673207,0.67293,0,21,20,False,1,4,0,tidy_all(library),False
21,0.375727,0.668289,0.668039,0,20,20,False,4,4,0,tidy_all(library),False
22,0.516572,0.666785,0.666557,0,20,20,False,2,4,0,tidy_all(library),False
23,0.443936,0.675262,0.67504,0,19,19,False,3,4,0,tidy_all(library),False
24,0.446011,0.674332,0.674071,0,19,19,False,3,4,0,tidy_all(library),False
25,0.368041,0.670133,0.669893,0,21,20,False,1,4,0,tidy_all(library),False
26,0.372514,0.662828,0.662565,0,21,20,False,1,4,0,tidy_all(library),False
27,0.382346,0.654676,0.654395,0,20,20,False,4,4,0,tidy_all(library),False
28,0.373346,0.650296,0.650075,0,20,20,False,4,4,0,tidy_all(library),False
29,0.4456,0.678645,0.67838,0,19,19,False,3,4,0,tidy_all(library),False
30,0.370962,0.660868,0.660616,0,20,20,False,4,4,0,tidy_all(library),False
31,0.373815,0.65697,0.656707,0,20,20,False,4,4,0,tidy_all(library),False
32,0.443781,0.673939,0.673672,0,19,19,False,3,4,0,tidy_all(library),False
33,0.379925,0.665577,0.665339,0,20,20,False,4,4,0,tidy_all(library),False
34,0.520403,0.660068,0.659825,0,20,20,False,2,4,0,tidy_all(library),False
35,0.517456,0.654076,0.653835,0,20,20,False,2,4,0,tidy_all(library),False
36,0.519536,0.661353,0.661125,0,20,20,False,2,4,0,tidy_all(library),False
37,0.452784,0.665473,0.665249,0,19,19,False,3,4,0,tidy_all(library),False
38,0.370592,0.640343,0.640108,0,20,20,False,4,4,0,tidy_all(library),False
39,0.524427,0.652593,0.652364,0,20,20,False,2,4,0,tidy_all(library),False
40,0.516696,0.660785,0.660583,0,20,20,False,2,4,0,tidy_all(library),False
41,0.444464,0.66995,0.669676,0,19,19,False,3,4,0,tidy_all(library),False
42,0.45538,0.672499,0.672249,0,19,19,False,3,4,0,tidy_all(library),False
43,0.524659,0.6525,0.652271,0,20,20,False,2,4,0,tidy_all(library),False
44,0.368245,0.665578,0.665047,0,21,20,False,1,4,0,tidy_all(library),False
45,0.441967,0.664722,0.664468,0,19,19,False,3,4,0,tidy_all(library),False
46,0.374833,0.668317,0.668075,0,21,20,False,1,4,0,tidy_all(library),False
47,0.517163,0.661831,0.661579,0,20,20,False,2,4,0,tidy_all(library),False
48,0.369247,0.667209,0.666959,0,21,20,False,1,4,0,tidy_all(library),False
49,0.520683,0.659516,0.659264,0,20,20,False,2,4,0,tidy_all(library),False
50,0.445478,0.673241,0.673005,0,19,19,False,3,4,0,tidy_all(library),False
51,0.37642,0.642294,0.642038,0,20,20,False,4,4,0,tidy_all(library),False
52,0.374366,0.658859,0.658606,0,20,20,False,4,4,0,tidy_all(library),False
53,0.369533,0.67141,0.671159,0,21,20,False,1,4,0,tidy_all(library),False
54,0.516353,0.64772,0.647474,0,20,20,False,2,4,0,tidy_all(library),False
55,0.380619,0.64746,0.647209,0,20,20,False,4,4,0,tidy_all(library),False
56,0.378891,0.654943,0.654689,0,20,20,False,4,4,0,tidy_all(library),False
57,0.439237,0.678594,0.678344,0,19,19,False,3,4,0,tidy_all(library),False
58,0.515871,0.654011,0.653777,0,20,20,False,2,4,0,tidy_all(library),False
59,0.376905,0.650282,0.650028,0,20,20,False,4,4,0,tidy_all(library),False
60,0.441229,0.668669,0.668431,0,19,19,False,3,4,0,tidy_all(library),False
61,0.373194,0.665921,0.665655,0,21,20,False,1,4,0,tidy_all(library),False
62,0.379196,0.647917,0.647691,0,20,20,False,4,4,0,tidy_all(library),False
63,0.441622,0.686882,0.686675,0,19,19,False,3,4,0,tidy_all(library),False
64,0.441821,0.664995,0.664746,0,19,19,False,3,4,0,tidy_all(library),False
65,0.447225,0.680653,0.680399,0,19,19,False,3,4,0,tidy_all(library),False
66,0.371783,0.659787,0.659539,0,21,20,False,1,4,0,tidy_all(library),False
67,0.38283,0.653351,0.653002,0,20,20,False,4,4,0,tidy_all(library),False
68,0.368772,0.660724,0.660485,0,21,20,False,1,4,0,tidy_all(library),False
69,0.442252,0.660656,0.660398,0,19,19,False,3,4,0,tidy_all(library),False
70,0.445095,0.678725,0.67847,0,19,19,False,3,4,0,tidy_all(library),False
71,0.370332,0.67199,0.671736,0,20,20,False,4,4,0,tidy_all(library),False
72,0.441946,0.667188,0.666942,0,19,19,False,3,4,0,tidy_all(library),False
73,0.517425,0.660146,0.659924,0,20,20,False,2,4,0,tidy_all(library),False
74,0.369995,0.661943,0.661707,0,21,20,False,1,4,0,tidy_all(library),False
75,0.443315,0.667711,0.66744,0,19,19,False,3,4,0,tidy_all(library),False
76,0.520039,0.655035,0.654768,0,20,20,False,2,4,0,tidy_all(library),False
77,0.538334,0.648002,0.647737,0,20,20,False,2,4,0,tidy_all(library),False
78,0.540182,0.662399,0.662142,0,20,20,False,2,4,0,tidy_all(library),False
79,0.44426,0.677348,0.677125,0,19,19,False,3,4,0,tidy_all(library),False
80,0.373304,0.650053,0.649788,0,20,20,False,4,4,0,tidy_all(library),False
81,0.383562,0.692422,0.691246,0,20,20,False,4,4,0,tidy_all(library),False
82,0.402018,0.717379,0.717169,0,20,20,False,4,4,0,tidy_all(library),False
83,0.400619,0.779742,0.779513,0,20,20,False,4,4,0,tidy_all(library),False
84,0.482422,0.795651,0.79544,0,19,19,False,3,4,0,tidy_all(library),False
85,0.399871,0.720911,0.720655,0,20,20,False,4,4,0,tidy_all(library),False
86,0.382322,0.702644,0.699734,0,20,20,False,4,4,0,tidy_all(library),False
87,0.379562,0.675527,0.6753,0,20,20,False,4,4,0,tidy_all(library),False
88,0.378838,0.67646,0.67621,0,20,20,False,4,4,0,tidy_all(library),False
89,0.377567,0.698642,0.698403,0,21,20,False,1,4,0,tidy_all(library),False
90,0.523744,0.654684,0.654467,0,20,20,False,2,4,0,tidy_all(library),False
91,0.519648,0.6503,0.650094,0,20,20,False,2,4,0,tidy_all(library),False
92,0.369779,0.667442,0.667189,0,21,20,False,1,4,0,tidy_all(library),False
93,0.37686,0.649548,0.649307,0,20,20,False,4,4,0,tidy_all(library),False
94,0.377629,0.650485,0.650282,0,20,20,False,4,4,0,tidy_all(library),False
95,0.522306,0.646752,0.646513,0,20,20,False,2,4,0,tidy_all(library),False
96,0.373909,0.651118,0.65091,0,20,20,False,4,4,0,tidy_all(library),False
97,0.365068,0.6674,0.66716,0,21,20,False,1,4,0,tidy_all(library),False
98,0.517177,0.661315,0.661062,0,20,20,False,2,4,0,tidy_all(library),False
99,0.371944,0.644039,0.643818,0,20,20,False,4,4,0,tidy_all(library),False
100,0.444009,0.668322,0.668088,0,19,19,False,3,4,0,tidy_all(library),False
101,0.36811,0.671386,0.671129,0,21,20,False,1,4,0,tidy_all(library),False
102,0.374941,0.65188,0.651625,0,20,20,False,4,4,0,tidy_all(library),False
103,0.368243,0.664077,0.66384,0,21,20,False,1,4,0,tidy_all(library),False
104,0.365956,0.673568,0.673256,0,21,20,False,1,4,0,tidy_all(library),False
105,0.371069,0.663933,0.663679,0,21,20,False,1,4,0,tidy_all(library),False
106,0.517987,0.656545,0.656334,0,20,20,False,2,4,0,tidy_all(library),False
107,0.447992,0.672865,0.672643,0,19,19,False,3,4,0,tidy_all(library),False
108,0.527904,0.650929,0.650682,0,20,20,False,2,4,0,tidy_all(library),False
109,0.378045,0.646574,0.646319,0,20,20,False,4,4,0,tidy_all(library),False
110,0.367307,0.665363,0.66515,0,21,20,False,1,4,0,tidy_all(library),False
111,0.376082,0.647439,0.647157,0,20,20,False,4,4,0,tidy_all(library),False
112,0.519535,0.668026,0.667777,0,20,20,False,2,4,0,tidy_all(library),False
113,0.520209,0.655417,0.655171,0,20,20,False,2,4,0,tidy_all(library),False
114,0.523179,0.655275,0.655027,0,20,20,False,2,4,0,tidy_all(library),False
115,0.443123,0.665286,0.665029,0,19,19,False,3,4,0,tidy_all(library),False
116,0.375556,0.646448,0.646217,0,20,20,False,4,4,0,tidy_all(library),False
117,0.45061,0.666964,0.66673,0,19,19,False,3,4,0,tidy_all(library),False
118,0.374094,0.64606,0.645843,0,20,20,False,4,4,0,tidy_all(library),False
119,0.44747,0.66376,0.663544,0,19,19,False,3,4,0,tidy_all(library),False
120,0.373411,0.660723,0.660488,0,20,20,False,4,4,0,tidy_all(library),False
121,0.441268,0.664501,0.664234,0,19,19,False,3,4,0,tidy_all(library),False
