Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,2.088202,0,0,0,14,0,,,0,128,tidy_all(library),False
2,1.553896,0,0,0,14,0,,,0,283,tidy_all(library),False
3,0.224323,0,0,0,1,0,,,0,275,tidy_all(library),False
4,0.237359,0,0,0,4,0,,,0,245,tidy_all(library),False
5,4.434194,0,0,0,12,0,,,0,192,tidy_all(library),False
6,2.699928,0,0,0,11,0,,,0,17,tidy_all(library),False
7,0.412479,0,0,0,19,0,,,0,208,tidy_all(library),False
8,2.49627,0,0,0,9,0,,,0,259,tidy_all(library),False
9,0.281324,0,0,0,6,0,,,0,290,tidy_all(library),False
10,3.133093,0,0,0,10,0,,,0,293,tidy_all(library),False
11,3.080576,0,0,0,10,0,,,0,14,tidy_all(library),False
12,0.233147,0,0,0,5,0,,,0,260,tidy_all(library),False
13,1.195915,0,0,0,14,0,,,0,287,tidy_all(library),False
14,2.750967,0,0,0,11,0,,,0,168,tidy_all(library),False
15,0.235658,0,0,0,5,0,,,0,90,tidy_all(library),False
16,1.051455,0,0,0,16,0,,,0,13,tidy_all(library),False
17,0.232393,0,0,0,4,0,,,0,85,tidy_all(library),False
18,0.285873,0,0,0,6,0,,,0,130,tidy_all(library),False
19,0.428722,0,0,0,4,0,,,0,55,tidy_all(library),False
20,0.235355,0,0,0,1,0,,,0,75,tidy_all(library),False
21,2.230727,0,0,0,9,0,,,0,267,tidy_all(library),False
22,0.293775,0,0,0,7,0,,,0,96,tidy_all(library),False
23,4.942786,0,0,0,11,0,,,0,56,tidy_all(library),False
24,1.854536,0,0,0,13,0,,,0,261,tidy_all(library),False
25,5.902048,0,0,0,8,0,,,0,34,tidy_all(library),False
26,0.261567,0,0,0,6,0,,,0,146,tidy_all(library),False
27,2.817491,0,0,0,10,0,,,0,42,tidy_all(library),False
28,1.497602,0,0,0,13,0,,,0,253,tidy_all(library),False
29,0.222734,0,0,0,1,0,,,0,225,tidy_all(library),False
30,1.917871,0,0,0,9,0,,,0,39,tidy_all(library),False
31,1.298044,0,0,0,15,0,,,0,8,tidy_all(library),False
32,3.820211,0,0,0,11,0,,,0,117,tidy_all(library),False
33,1.369288,0,0,0,15,0,,,0,202,tidy_all(library),False
34,0.34475,0,0,0,8,0,,,0,140,tidy_all(library),False
35,1.775652,0,0,0,8,0,,,0,21,tidy_all(library),False
36,1.599419,0,0,0,15,0,,,0,158,tidy_all(library),False
37,1.577855,0,0,0,14,0,,,0,236,tidy_all(library),False
38,2.403692,0,0,0,13,0,,,0,153,tidy_all(library),False
39,5.009239,0,0,0,13,0,,,0,102,tidy_all(library),False
40,3.088693,0,0,0,10,0,,,0,14,tidy_all(library),False
41,3.075704,0,0,0,11,0,,,0,264,tidy_all(library),False
42,1.048329,0,0,0,16,0,,,0,13,tidy_all(library),False
43,0.226476,0,0,0,1,0,,,0,300,tidy_all(library),False
44,0.227622,0,0,0,5,0,,,0,271,tidy_all(library),False
45,0.290636,0,0,0,7,0,,,0,96,tidy_all(library),False
46,2.873872,0,0,0,10,0,,,0,51,tidy_all(library),False
47,0.271857,0,0,0,7,0,,,0,110,tidy_all(library),False
48,1.156902,0,0,0,16,0,,,0,63,tidy_all(library),False
49,2.123292,0,0,0,12,0,,,0,286,tidy_all(library),False
50,1.913025,0,0,0,9,0,,,0,89,tidy_all(library),False
51,3.284472,0,0,0,12,0,,,0,231,tidy_all(library),False
52,3.332335,0,0,0,13,0,,,0,151,tidy_all(library),False
53,1.04063,0,0,0,16,0,,,0,13,tidy_all(library),False
54,3.184526,0,0,0,9,0,,,0,119,tidy_all(library),False
55,2.725445,0,0,0,11,0,,,0,168,tidy_all(library),False
56,5.459458,0,0,0,9,0,,,0,66,tidy_all(library),False
57,3.800956,0,0,0,11,0,,,0,117,tidy_all(library),False
58,1.547891,0,0,0,14,0,,,0,283,tidy_all(library),False
59,0.706843,0,0,0,18,0,,,0,183,tidy_all(library),False
60,1.302811,0,0,0,14,0,,,0,3,tidy_all(library),False
61,1.175894,0,0,0,11,0,,,0,98,tidy_all(library),False
62,4.894225,0,0,0,11,0,,,0,6,tidy_all(library),False
63,1.596545,0,0,0,12,0,,,0,23,tidy_all(library),False
64,2.097066,0,0,0,14,0,,,0,128,tidy_all(library),False
65,2.027852,0,0,0,15,0,,,0,107,tidy_all(library),False
66,1.97018,0,0,0,13,0,,,0,114,tidy_all(library),False
67,6.755677,0,0,0,11,0,,,0,101,tidy_all(library),False
68,0.229369,0,0,0,5,0,,,0,255,tidy_all(library),False
69,2.145734,0,0,0,12,0,,,0,143,tidy_all(library),False
70,2.588173,0,0,0,9,0,,,0,97,tidy_all(library),False
71,5.451365,0,0,0,12,0,,,0,127,tidy_all(library),False
72,2.83043,0,0,0,14,0,,,0,177,tidy_all(library),False
73,1.867577,0,0,0,14,0,,,0,136,tidy_all(library),False
74,5.870616,0,0,0,10,0,,,0,179,tidy_all(library),False
75,2.01368,0,0,0,14,0,,,0,12,tidy_all(library),False
76,1.336153,0,0,0,12,0,,,0,73,tidy_all(library),False
77,1.526084,0,0,0,7,0,,,0,172,tidy_all(library),False
78,0.247485,0,0,0,6,0,,,0,135,tidy_all(library),False
79,1.865267,0,0,0,9,0,,,0,47,tidy_all(library),False
80,3.707223,0,0,0,12,0,,,0,278,tidy_all(library),False
81,0.873522,0,0,0,17,0,,,0,108,tidy_all(library),False
82,0.314826,0,0,0,5,0,,,0,99,tidy_all(library),False
83,5.873505,0,0,0,10,0,,,0,191,tidy_all(library),False
84,0.279566,0,0,0,5,0,,,0,10,tidy_all(library),False
85,2.2456,0,0,0,9,0,,,0,267,tidy_all(library),False
86,0.358101,0,0,0,8,0,,,0,185,tidy_all(library),False
87,0.989992,0,0,0,16,0,,,0,178,tidy_all(library),False
88,0.226203,0,0,0,5,0,,,0,272,tidy_all(library),False
89,0.873195,0,0,0,17,0,,,0,108,tidy_all(library),False
90,3.328535,0,0,0,13,0,,,0,151,tidy_all(library),False
91,1.553263,0,0,0,14,0,,,0,283,tidy_all(library),False
92,1.658833,0,0,0,11,0,,,0,216,tidy_all(library),False
93,0.237839,0,0,0,3,0,,,0,20,tidy_all(library),False
94,2.718274,0,0,0,11,0,,,0,168,tidy_all(library),False
95,0.247038,0,0,0,6,0,,,0,247,tidy_all(library),False
96,1.882327,0,0,0,11,0,,,0,268,tidy_all(library),False
97,0.234319,0,0,0,5,0,,,0,90,tidy_all(library),False
98,5.812822,0,0,0,10,0,,,0,191,tidy_all(library),False
99,0.64787,0,0,0,8,0,,,0,41,tidy_all(library),False
100,1.66302,0,0,0,11,0,,,0,216,tidy_all(library),False
101,0.293325,0,0,0,6,0,,,0,94,tidy_all(library),False
102,0.667615,0,0,0,8,0,,,0,91,tidy_all(library),False
103,0.263363,0,0,0,4,0,,,0,195,tidy_all(library),False
104,1.877972,0,0,0,11,0,,,0,268,tidy_all(library),False
105,0.323427,0,0,0,8,0,,,0,148,tidy_all(library),False
106,2.040046,0,0,0,15,0,,,0,107,tidy_all(library),False
107,0.253552,0,0,0,5,0,,,0,124,tidy_all(library),False
108,1.496788,0,0,0,12,0,,,0,239,tidy_all(library),False
109,0.745071,0,0,0,9,0,,,0,210,tidy_all(library),False
110,2.591951,0,0,0,9,0,,,0,97,tidy_all(library),False
111,0.294654,0,0,0,6,0,,,0,44,tidy_all(library),False
112,2.685646,0,0,0,14,0,,,0,132,tidy_all(library),False
113,0.230587,0,0,0,5,0,,,0,272,tidy_all(library),False
114,1.941359,0,0,0,13,0,,,0,114,tidy_all(library),False
115,1.14849,0,0,0,13,0,,,0,217,tidy_all(library),False
116,0.230743,0,0,0,5,0,,,0,274,tidy_all(library),False
117,5.460137,0,0,0,12,0,,,0,127,tidy_all(library),False
118,3.752895,0,0,0,9,0,,,0,16,tidy_all(library),False
119,1.439414,0,0,0,15,0,,,0,258,tidy_all(library),False
