Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0.282773,0.527189,0.24653,0.280245,7,7,True,0,0,355,tidy_all(library),False
2,25.896889,26.054187,0.227466,25.826306,9,9,True,0,0,25,tidy_all(library),False
3,5.368651,5.597948,0.248083,5.349444,14,14,True,0,0,136,tidy_all(library),False
4,19.865777,19.757407,0.233162,19.523865,10,10,True,0,0,131,tidy_all(library),False
5,2.276876,2.615626,0.243894,2.371379,21,21,True,0,0,238,tidy_all(library),False
6,22.170044,22.731565,0.247059,22.484147,12,12,True,0,0,541,tidy_all(library),False
7,3.074728,3.305632,0.235366,3.069938,8,8,True,0,0,213,tidy_all(library),False
8,0.333124,0.561445,0.234026,0.327059,4,4,True,0,0,575,tidy_all(library),False
9,0.289596,0.514866,0.22392,0.290574,7,7,True,0,0,139,tidy_all(library),False
10,2.73732,2.957868,0.233251,2.724213,19,19,True,0,0,412,tidy_all(library),False
11,0.403682,0.631411,0.228584,0.402458,7,7,True,0,0,480,tidy_all(library),False
12,54.67721,54.612248,0.233783,54.378136,12,12,True,0,0,367,tidy_all(library),False
13,54.726629,55.944069,0.233791,55.709898,12,12,True,0,0,367,tidy_all(library),False
14,0.524815,0.76392,0.235225,0.528309,7,7,True,0,0,249,tidy_all(library),False
15,37.625054,37.770394,0.245663,37.524359,9,9,True,0,0,407,tidy_all(library),False
16,17.298459,17.81811,0.222635,17.595002,13,13,True,1,1,471,tidy_all(library),False
17,0.669388,0.977525,0.308172,0.668938,6,6,True,0,1,90,tidy_all(library),False
18,0.293552,0.639118,0.345789,0.292957,6,6,True,0,1,186,tidy_all(library),False
19,22.037047,22.040551,0.303363,21.736846,11,11,True,0,1,241,tidy_all(library),False
20,2.453807,2.763364,0.309974,2.453037,20,20,True,0,1,303,tidy_all(library),False
21,42.302607,42.990599,0.319565,42.670701,12,12,True,0,1,182,tidy_all(library),False
22,0.351468,0.659847,0.305615,0.353888,4,4,True,0,1,323,tidy_all(library),False
23,71.985182,71.400782,0.320036,71.080402,14,14,True,0,1,188,tidy_all(library),False
24,14.485594,15.049065,0.332469,14.716239,15,15,True,0,1,477,tidy_all(library),False
25,17.838878,18.560569,0.313665,18.246555,11,11,True,0,1,141,tidy_all(library),False
26,18.285114,18.704414,0.311928,18.392135,7,7,True,0,1,101,tidy_all(library),False
27,5.125595,5.414228,0.310823,5.103048,19,19,True,0,1,159,tidy_all(library),False
28,23.638314,24.614039,0.307822,24.30587,11,11,True,0,1,357,tidy_all(library),False
29,0.322374,0.632239,0.313949,0.317971,7,7,True,0,1,247,tidy_all(library),False
30,18.045357,18.655376,0.348235,18.306723,13,13,True,2,2,475,tidy_all(library),False
31,10.999838,11.190864,0.427386,10.763082,15,15,True,0,2,123,tidy_all(library),False
32,0.846531,1.350205,0.457356,0.89247,23,23,True,0,2,345,tidy_all(library),False
33,19.292447,20.362686,0.467533,19.894814,16,16,True,0,2,301,tidy_all(library),False
34,18.512906,18.98102,0.454064,18.526552,7,7,True,0,2,101,tidy_all(library),False
35,9.966008,10.472181,0.449378,10.022395,14,14,True,0,2,547,tidy_all(library),False
36,1.787366,2.215993,0.431498,1.784116,20,20,True,0,2,298,tidy_all(library),False
37,19.103004,19.682598,0.436909,19.245364,14,14,True,0,2,368,tidy_all(library),False
38,0.28776,0.714128,0.429832,0.283951,8,8,True,0,2,287,tidy_all(library),False
39,0.244126,0.704282,0.458541,0.245369,7,7,True,0,2,474,tidy_all(library),False
40,0.594072,1.033322,0.434886,0.598107,8,8,True,0,2,270,tidy_all(library),False
41,21.656362,22.269313,0.448127,21.820833,12,12,True,0,2,541,tidy_all(library),False
42,0.272482,0.701324,0.428527,0.272398,6,6,True,0,2,450,tidy_all(library),False
43,9.97131,10.44981,0.429273,10.020186,14,14,True,0,2,547,tidy_all(library),False
44,5.525137,5.742471,0.434421,5.307646,16,16,True,0,2,379,tidy_all(library),False
45,0.30104,0.754704,0.442147,0.312224,6,6,True,0,2,60,tidy_all(library),False
46,38.082584,39.27381,0.425927,38.847526,14,14,True,0,2,14,tidy_all(library),False
47,5.679749,6.087718,0.442675,5.64464,14,14,True,0,2,388,tidy_all(library),False
48,13.04106,13.489938,0.429759,13.059739,16,16,True,0,2,262,tidy_all(library),False
49,1.435661,1.870625,0.432521,1.43776,8,8,True,0,2,286,tidy_all(library),False
50,0.241437,0.681405,0.441147,0.23993,6,6,True,0,2,462,tidy_all(library),False
51,0.2553,0.671028,0.427808,0.242838,4,4,True,0,2,48,tidy_all(library),False
52,0.237891,0.451544,0.451378,0,0,0,False,0,2,324,tidy_all(library),True
53,9.598798,9.932144,0.45793,9.473704,13,13,True,3,3,470,tidy_all(library),False
54,21.136443,21.445921,0.528551,20.916993,10,10,True,0,3,458,tidy_all(library),False
55,17.556808,18.965367,0.6103,18.354742,12,12,True,0,3,280,tidy_all(library),False
56,13.176489,13.604983,0.540576,13.064017,14,14,True,0,3,56,tidy_all(library),False
57,0.237151,0.853903,0.611207,0.24233,5,5,True,0,3,431,tidy_all(library),False
58,0.364306,0.91086,0.548292,0.362228,7,7,True,0,3,176,tidy_all(library),False
59,3.307572,3.859347,0.562885,3.296058,18,18,True,0,3,58,tidy_all(library),False
60,35.476498,36.894485,0.539467,36.354636,10,10,True,0,3,573,tidy_all(library),False
61,28.792811,29.018932,0.532922,28.485607,14,14,True,0,3,253,tidy_all(library),False
62,12.152789,12.648005,0.540706,12.106902,9,9,True,0,3,250,tidy_all(library),False
63,5.460572,5.968888,0.532522,5.435964,17,17,True,0,3,52,tidy_all(library),False
64,1.224231,1.804487,0.567176,1.236954,22,22,True,0,3,304,tidy_all(library),False
65,3.62789,4.247193,0.542885,3.703933,16,16,True,0,3,46,tidy_all(library),False
66,0.244643,0.836861,0.592108,0.244372,5,5,True,0,3,402,tidy_all(library),False
67,19.430284,19.858347,0.528262,19.329614,13,13,True,4,4,239,tidy_all(library),False
68,3.259619,4.04621,0.786574,3.259261,18,18,True,0,4,58,tidy_all(library),False
69,0.246495,1.030588,0.779612,0.250569,4,4,True,0,4,366,tidy_all(library),False
70,7.244447,8.048373,0.783158,7.264863,18,18,True,0,4,297,tidy_all(library),False
71,5.308768,6.377639,1.009814,5.367459,17,17,True,0,4,489,tidy_all(library),False
