Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,17.318957,1.924259,0.229303,1.69459,8,8,True,0,0,365,tidy_all(library),False
2,9.780205,70.112041,0.234704,69.876947,14,14,True,0,0,436,tidy_all(library),False
3,2.610611,19.555566,0.244272,19.310887,20,20,True,0,0,196,tidy_all(library),False
4,0.252921,0.708158,0.226663,0.481094,7,7,True,0,0,499,tidy_all(library),False
5,12.119104,1.93546,0.238203,1.696898,9,9,True,0,0,250,tidy_all(library),False
6,13.046167,90.674088,0.235341,90.43835,16,16,True,0,0,262,tidy_all(library),False
7,46.546285,51.788849,0.227046,51.561183,11,11,True,1,1,155,tidy_all(library),False
8,30.36807,14.675043,0.323218,14.351334,10,10,True,0,1,17,tidy_all(library),False
9,18.565885,464.042295,0.320982,463.720809,14,14,True,0,1,441,tidy_all(library),False
10,2.333734,10.850843,0.315219,10.535113,17,17,True,0,1,347,tidy_all(library),False
11,18.754833,161.791134,0.306189,161.48441,16,16,True,0,1,301,tidy_all(library),False
12,1.901801,1.287391,0.304305,0.982651,8,8,True,0,1,552,tidy_all(library),False
13,15.012573,68.709382,0.361253,68.347669,17,17,True,0,1,153,tidy_all(library),False
14,1.563249,7.122536,0.324232,6.79783,19,19,True,0,1,328,tidy_all(library),False
15,12.961606,62.975389,0.316262,62.658666,15,15,True,0,1,517,tidy_all(library),False
16,37.018226,228.5049,0.30967,228.194728,14,14,True,0,1,183,tidy_all(library),False
17,0.432861,1.064692,0.335226,0.729001,6,6,True,0,1,438,tidy_all(library),False
18,1.943433,10.960014,0.339061,10.62048,20,20,True,0,1,381,tidy_all(library),False
19,0.261978,1.03446,0.326053,0.707982,4,4,True,0,1,318,tidy_all(library),False
20,0.297089,0.956506,0.305862,0.650187,8,8,True,0,1,287,tidy_all(library),False
21,4.194866,20.854982,0.356102,20.498398,17,17,True,0,1,523,tidy_all(library),False
22,8.630743,30.942519,0.333941,30.608104,15,15,True,0,1,415,tidy_all(library),False
23,6.656503,30.757141,0.320757,30.434986,13,13,True,2,2,142,tidy_all(library),False
24,11.870394,575.519929,0.461287,575.058182,14,14,True,0,2,45,tidy_all(library),False
25,0.244586,0.986753,0.450639,0.535663,7,7,True,0,2,474,tidy_all(library),False
26,0.255678,1.240191,0.492833,0.746829,5,5,True,0,2,179,tidy_all(library),False
27,0.231394,0.452253,0.452059,0,0,0,False,0,2,180,tidy_all(library),True
28,1.124778,1.20925,0.462913,0.745899,7,7,True,0,2,486,tidy_all(library),False
29,37.305023,298.216873,0.455612,297.760758,14,14,True,0,2,14,tidy_all(library),False
30,3.891155,1.493698,0.462401,1.029264,6,6,True,0,2,571,tidy_all(library),False
31,18.335432,7.372218,0.469766,6.901927,7,7,True,0,2,101,tidy_all(library),False
32,9.905114,96.06998,0.465658,95.603872,14,14,True,0,2,547,tidy_all(library),False
33,42.164693,34.797034,0.463513,34.332976,11,11,True,3,3,397,tidy_all(library),False
34,38.959241,262.319564,0.595036,261.724043,14,14,True,0,3,305,tidy_all(library),False
35,0.424876,1.982691,0.563516,1.418682,8,8,True,0,3,276,tidy_all(library),False
36,19.199714,2.307377,0.579751,1.72715,8,8,True,0,3,385,tidy_all(library),False
37,1.197669,3.907824,0.567112,3.340204,22,22,True,0,3,561,tidy_all(library),False
38,1.091688,6.226715,0.570994,5.655217,20,20,True,0,3,560,tidy_all(library),False
39,25.715097,1.611075,0.595475,1.015143,8,8,True,0,3,393,tidy_all(library),False
40,7.974666,23.165861,0.568971,22.596375,14,14,True,0,3,34,tidy_all(library),False
41,37.859407,13.679867,0.582983,13.096374,10,10,True,0,3,293,tidy_all(library),False
42,0.282409,1.443331,0.600341,0.842545,7,7,True,0,3,516,tidy_all(library),False
43,12.832753,5.699686,0.582278,5.116968,8,8,True,0,3,133,tidy_all(library),False
44,42.625108,291.559957,0.586902,290.972523,14,14,True,0,3,290,tidy_all(library),False
45,0.251661,1.387781,0.586168,0.801124,6,6,True,0,3,444,tidy_all(library),False
46,3.300791,20.036797,0.568228,19.468017,18,18,True,0,3,554,tidy_all(library),False
47,4.278529,32.553656,0.588753,31.964273,18,18,True,0,3,453,tidy_all(library),False
48,30.502268,139.27254,0.57159,138.700477,13,13,True,4,4,27,tidy_all(library),False
49,15.330644,72.361018,0.746803,71.613609,15,15,True,0,4,512,tidy_all(library),False
50,21.39998,17.748824,0.711798,17.036527,10,10,True,0,4,43,tidy_all(library),False
51,33.059008,162.260555,0.720803,161.539231,13,13,True,5,5,91,tidy_all(library),False
52,49.400016,62.526949,0.901389,61.625046,12,12,True,6,6,314,tidy_all(library),False
53,0.242108,1.111862,1.111662,0,1,0,False,2,6,108,tidy_all(library),False
54,0.377533,2.100202,1.048776,1.050904,8,8,True,0,6,378,tidy_all(library),False
55,0.25176,1.77982,1.010274,0.769105,6,6,True,0,6,546,tidy_all(library),False
56,0.246615,1.897658,1.063741,0.833444,5,5,True,0,6,174,tidy_all(library),False
57,0.27146,2.091718,1.05856,1.032536,6,6,True,0,6,450,tidy_all(library),False
58,0.407428,2.31928,1.077845,1.240965,8,8,True,0,6,456,tidy_all(library),False
59,9.401365,65.07312,1.170883,63.901728,16,16,True,0,6,311,tidy_all(library),False
60,29.751205,134.418562,1.077783,133.340205,13,13,True,7,7,161,tidy_all(library),False
61,0.28574,2.806998,1.185757,1.62077,7,7,True,0,7,67,tidy_all(library),False
62,30.418352,1.47209,1.471915,0,13,0,False,4,7,27,tidy_all(library),False
63,18.743717,20.408076,1.2,19.207555,12,12,True,8,8,551,tidy_all(library),False
64,42.359563,1.567948,1.567755,0,11,0,False,3,8,397,tidy_all(library),False
65,49.196443,77.2948,1.535035,75.759252,12,12,True,9,9,299,tidy_all(library),False
66,14.402371,70.056512,1.869857,68.186146,15,15,True,0,9,235,tidy_all(library),False
67,21.757717,27.671309,1.618799,26.051953,12,12,True,10,10,541,tidy_all(library),False
68,8.281065,44.740323,2.268747,42.471058,17,17,True,0,10,226,tidy_all(library),False
69,15.236346,75.395356,1.785071,73.609684,15,15,True,0,10,512,tidy_all(library),False
70,14.258679,26.761322,1.689215,25.071551,13,13,True,11,11,325,tidy_all(library),False
71,8.955442,76.02708,1.844694,74.181883,15,15,True,0,11,482,tidy_all(library),False
72,23.728944,8.183327,1.820887,6.361899,12,12,True,12,12,281,tidy_all(library),False
73,37.594246,229.901973,2.048117,227.853364,12,12,True,13,13,74,tidy_all(library),False
74,0.254098,3.236865,2.216798,1.019583,4,4,True,0,13,6,tidy_all(library),False
75,11.822285,105.455555,2.124927,103.330124,14,14,True,0,13,45,tidy_all(library),False
76,17.876473,5.186151,2.108671,3.076776,9,9,True,0,13,68,tidy_all(library),False
77,0.35341,3.348453,2.247602,1.10032,6,6,True,0,13,107,tidy_all(library),False
78,1.766249,16.146021,2.492003,13.65351,20,20,True,0,13,298,tidy_all(library),False
79,36.359643,6.099809,2.284257,3.814906,9,9,True,0,13,407,tidy_all(library),False
80,7.620431,4.275376,2.874228,1.400638,7,7,True,0,13,248,tidy_all(library),False
81,2.22588,15.066727,2.321686,12.744473,17,17,True,0,13,352,tidy_all(library),False
82,18.384496,6.533126,2.264955,4.267604,7,7,True,0,13,101,tidy_all(library),False
83,22.387399,6.046211,2.397268,3.64731,10,10,True,0,13,565,tidy_all(library),False
84,18.685179,14.537191,2.15546,12.381187,11,11,True,14,14,69,tidy_all(library),False
85,0.29829,3.450223,2.304943,1.144727,6,6,True,0,14,137,tidy_all(library),False
86,30.098016,17.518932,2.366611,15.15183,9,9,True,0,14,53,tidy_all(library),False
87,0.253353,3.300457,2.32943,0.970534,6,6,True,0,14,464,tidy_all(library),False
88,0.237359,3.332757,2.345712,0.985063,7,7,True,0,14,503,tidy_all(library),False
89,0.231288,1.980106,1.979923,0,0,0,False,0,14,216,tidy_all(library),True
90,0.293146,4.155716,2.668311,1.486856,6,6,True,0,14,186,tidy_all(library),False
91,46.045398,18.448203,2.376466,16.071285,9,9,True,0,14,11,tidy_all(library),False
92,3.794356,15.546625,2.469036,13.077025,17,17,True,0,14,337,tidy_all(library),False
93,2.213423,15.648097,2.3832,13.264398,19,19,True,0,14,519,tidy_all(library),False
94,32.428315,16.166869,2.665229,13.501088,10,10,True,0,14,313,tidy_all(library),False
95,3.90101,3.566734,2.435211,1.131017,6,6,True,0,14,571,tidy_all(library),False
96,6.560804,35.647506,2.406012,33.240941,15,15,True,0,14,527,tidy_all(library),False
97,8.833896,42.096823,2.508072,39.588214,17,17,True,0,14,236,tidy_all(library),False
