Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,1.104771,1.370907,0.269136,1.101307,22,22,True,0,0,382,tidy_all(library),False
2,32.546262,30.905314,0.235291,30.669658,11,11,True,0,0,245,tidy_all(library),False
3,29.612957,31.124292,0.237354,30.886602,11,11,True,0,0,233,tidy_all(library),False
4,7.532946,7.762945,0.238322,7.52423,17,17,True,0,0,484,tidy_all(library),False
5,17.952943,18.102811,0.239321,17.863126,17,17,True,0,0,158,tidy_all(library),False
6,6.605504,6.826384,0.224844,6.60103,13,13,True,1,1,142,tidy_all(library),False
7,0.486096,0.798426,0.309525,0.488507,6,6,True,0,1,210,tidy_all(library),False
8,1.370922,1.667086,0.311101,1.355546,22,22,True,0,1,202,tidy_all(library),False
9,22.590247,22.963116,0.311704,22.651011,12,12,True,0,1,257,tidy_all(library),False
10,17.444106,17.927042,0.350898,17.575717,11,11,True,0,1,141,tidy_all(library),False
11,24.220978,24.668242,0.319828,24.347968,11,11,True,0,1,95,tidy_all(library),False
12,13.758112,14.007677,0.317665,13.689517,10,10,True,0,1,204,tidy_all(library),False
13,41.353528,41.442458,0.311182,41.130865,12,12,True,0,1,362,tidy_all(library),False
14,7.098123,7.394783,0.314547,7.079796,14,14,True,0,1,557,tidy_all(library),False
15,3.235911,3.559602,0.308313,3.250877,18,18,True,0,1,370,tidy_all(library),False
16,2.935344,3.171339,0.308588,2.862253,19,19,True,0,1,417,tidy_all(library),False
17,5.911047,6.198261,0.298595,5.899283,17,17,True,0,1,518,tidy_all(library),False
18,24.485203,24.843925,0.315339,24.528156,15,15,True,0,1,81,tidy_all(library),False
19,21.415802,21.628527,0.311007,21.31712,10,10,True,0,1,43,tidy_all(library),False
20,6.623197,6.924382,0.307903,6.616011,17,17,True,0,1,406,tidy_all(library),False
21,44.675964,44.94208,0.325923,44.615796,12,12,True,0,1,445,tidy_all(library),False
22,17.632399,17.789201,0.297479,17.491317,7,7,True,0,1,29,tidy_all(library),False
23,28.453946,28.682973,0.310198,28.372384,14,14,True,0,1,75,tidy_all(library),False
24,10.836543,11.137742,0.304742,10.832621,16,16,True,0,1,184,tidy_all(library),False
25,0.369302,0.676623,0.307452,0.368828,8,8,True,0,1,31,tidy_all(library),False
26,6.139943,6.442698,0.29328,6.149014,16,16,True,0,1,57,tidy_all(library),False
27,38.72799,39.305147,0.312732,38.992051,11,11,True,0,1,121,tidy_all(library),False
28,30.522342,30.910644,0.306727,30.603438,13,13,True,2,2,27,tidy_all(library),False
29,0.289574,0.758091,0.464453,0.293241,7,7,True,0,2,228,tidy_all(library),False
30,0.234263,0.459918,0.459754,0,0,0,False,0,2,216,tidy_all(library),True
31,0.32374,0.77368,0.457053,0.316255,7,7,True,0,2,247,tidy_all(library),False
32,3.835774,4.31553,0.466233,3.848892,8,8,True,0,2,285,tidy_all(library),False
