Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0.592657,1.32985,0.242526,1.086584,7,7,True,1,1,43,tidy_all(library),False
2,0.248518,0.580997,0.226174,0.354268,6,6,True,2,2,84,tidy_all(library),False
3,2.362559,2.720727,0.273858,2.446309,9,9,True,3,3,41,tidy_all(library),False
4,0.242594,0.656097,0.281353,0.374246,4,4,True,4,4,111,tidy_all(library),False
5,0.227084,0.753105,0.33936,0.41317,6,6,True,5,5,142,tidy_all(library),False
6,0.24446,1.066087,0.41405,0.651444,6,6,True,6,6,27,tidy_all(library),False
7,0.25077,0.977928,0.466165,0.511161,7,7,True,7,7,61,tidy_all(library),False
8,1.268773,1.763559,0.509912,1.253093,10,10,True,8,8,87,tidy_all(library),False
9,0.287593,1.191814,0.58573,0.605481,14,14,True,9,9,178,tidy_all(library),False
10,0.396083,1.690043,0.719848,0.969647,12,12,True,10,10,2,tidy_all(library),False
11,0.343113,1.813143,0.725882,1.086519,8,8,True,11,11,187,tidy_all(library),False
12,0.229759,0.929442,0.92921,0,3,9,False,3,11,44,tidy_all(library),False
13,0.369722,1.55929,0.832154,0.726533,14,14,True,12,12,134,tidy_all(library),False
14,0.957844,1.733806,0.877198,0.856085,10,10,True,13,13,26,tidy_all(library),False
15,0.342734,2.055536,0.940889,1.11403,10,10,True,14,14,58,tidy_all(library),False
16,0.414957,2.077819,1.141408,0.935832,11,11,True,15,15,42,tidy_all(library),False
17,0.44851,2.25521,1.148512,1.106088,10,10,True,16,16,135,tidy_all(library),False
18,1.080209,1.540471,1.540226,0,8,10,False,8,16,107,tidy_all(library),False
19,1.118205,3.621923,1.376785,2.244617,10,10,True,17,17,105,tidy_all(library),False
20,0.526442,2.846692,1.457288,1.388818,11,11,True,18,18,74,tidy_all(library),False
21,0.619293,2.05709,2.056829,0,7,7,False,1,18,43,tidy_all(library),False
22,0.460812,2.818258,1.578048,1.239571,12,12,True,19,19,103,tidy_all(library),False
23,0.452076,1.917998,1.917738,0,12,14,False,9,19,130,tidy_all(library),False
24,0.62943,2.709773,1.510487,1.19867,11,11,True,20,20,145,tidy_all(library),False
25,0.241211,2.399631,1.670456,0.728496,6,6,True,21,21,59,tidy_all(library),False
26,0.252632,2.472391,1.752612,0.71919,16,16,True,22,22,182,tidy_all(library),False
27,0.219559,2.348463,1.754714,0.593158,3,3,True,23,23,20,tidy_all(library),False
28,0.388572,2.808144,1.794793,1.012713,7,7,True,24,24,19,tidy_all(library),False
29,0.325209,3.173749,2.225453,0.947698,15,15,True,25,25,70,tidy_all(library),False
30,0.606026,3.345083,2.010254,1.334187,11,11,True,26,26,37,tidy_all(library),False
31,0.516954,3.339608,2.18155,1.157466,11,11,True,27,27,149,tidy_all(library),False
32,0.863513,4.096312,2.211262,1.884478,9,9,True,28,28,7,tidy_all(library),False
33,0.203272,2.744855,2.744567,0,3,11,False,27,28,172,tidy_all(library),False
34,0.283596,3.115167,2.297408,0.816913,15,15,True,29,29,114,tidy_all(library),False
35,0.209426,2.581665,2.581396,0,1,7,False,7,29,64,tidy_all(library),False
36,0.223651,3.217314,2.535012,0.68169,5,5,True,30,30,68,tidy_all(library),False
37,0.204418,3.193346,2.484789,0.707938,3,3,True,31,31,175,tidy_all(library),False
38,0.605053,3.856748,2.445173,1.410902,9,9,True,32,32,153,tidy_all(library),False
39,0.438276,4.317834,2.934301,1.382934,11,11,True,33,33,71,tidy_all(library),False
40,0.399271,3.977001,2.858176,1.118232,8,8,True,34,34,45,tidy_all(library),False
41,0.232767,3.13028,3.130034,0,5,9,False,32,34,157,tidy_all(library),False
42,1.123859,4.422668,4.422398,0,10,10,False,17,34,105,tidy_all(library),False
43,0.544314,4.257282,3.065148,1.191511,11,11,True,35,35,115,tidy_all(library),False
44,0.648514,4.222265,2.892023,1.329596,9,9,True,36,36,154,tidy_all(library),False
45,0.272474,3.888812,2.978124,0.910056,7,7,True,37,37,29,tidy_all(library),False
46,0.631822,3.822434,3.822163,0,11,11,False,20,37,145,tidy_all(library),False
47,0.216624,3.982222,3.152503,0.827972,3,3,True,38,38,52,tidy_all(library),False
48,0.816656,3.984558,3.984333,0,9,9,False,32,38,169,tidy_all(library),False
49,0.211975,2.66667,2.666479,0,0,0,False,0,38,176,tidy_all(library),True
50,0.507157,4.658107,3.328073,1.329298,12,12,True,39,39,81,tidy_all(library),False
51,0.206587,4.119809,4.119549,0,3,3,False,31,39,175,tidy_all(library),False
52,0.21511,3.874039,3.873771,0,5,11,False,27,39,152,tidy_all(library),False
53,0.413084,5.852064,4.533676,1.317752,13,13,True,40,40,66,tidy_all(library),False
54,0.229887,4.626889,4.626612,0,7,15,False,29,40,116,tidy_all(library),False
55,0.240439,4.543281,3.488131,1.054194,6,6,True,41,41,15,tidy_all(library),False
56,0.295867,5.113769,3.99999,1.113131,13,13,True,42,42,119,tidy_all(library),False
57,0.214786,4.01504,4.01479,0,1,7,False,7,42,64,tidy_all(library),False
58,0.438605,4.457626,4.457341,0,8,8,False,11,42,139,tidy_all(library),False
59,0.22427,4.152029,4.151777,0,4,8,False,11,42,140,tidy_all(library),False
60,0.346881,5.57225,4.255829,1.315736,14,14,True,43,43,98,tidy_all(library),False
61,0.419903,5.258939,5.258696,0,11,11,False,15,43,42,tidy_all(library),False
62,0.523875,4.673713,4.673441,0,11,11,False,27,43,149,tidy_all(library),False
63,0.219688,4.630301,3.753837,0.875889,4,4,True,44,44,24,tidy_all(library),False
64,1.203029,6.646552,4.367386,2.278302,9,9,True,45,45,163,tidy_all(library),False
65,0.517469,6.033075,6.032728,0,11,11,False,18,45,74,tidy_all(library),False
66,0.242906,4.735859,4.735582,0,5,11,False,26,45,40,tidy_all(library),False
67,0.222385,4.897056,3.976628,0.919853,4,4,True,46,46,191,tidy_all(library),False
68,0.385782,4.487268,4.486998,0,7,7,False,24,46,19,tidy_all(library),False
69,1.080244,8.426301,4.972316,3.45333,9,9,True,47,47,73,tidy_all(library),False
70,0.487563,5.511491,4.019453,1.491385,9,9,True,48,48,155,tidy_all(library),False
71,0.746568,6.900472,5.40795,1.491881,11,11,True,49,49,146,tidy_all(library),False
72,0.389413,4.655746,4.655515,0,7,7,False,24,49,19,tidy_all(library),False
73,1.074816,5.697582,5.697312,0,9,9,False,47,49,73,tidy_all(library),False
74,0.591103,7.281444,7.281166,0,7,7,False,1,49,43,tidy_all(library),False
75,0.276275,5.37883,5.37855,0,7,11,False,18,49,78,tidy_all(library),False
76,0.354222,7.122943,5.860852,1.261396,13,13,True,50,50,113,tidy_all(library),False
77,0.85772,5.889408,5.889104,0,9,9,False,28,50,7,tidy_all(library),False
78,0.221857,6.537215,6.536951,0,5,9,False,47,50,77,tidy_all(library),False
79,0.679244,7.247201,5.337019,1.909592,10,10,True,51,51,90,tidy_all(library),False
80,0.385882,6.409915,5.005023,1.404234,10,10,True,52,52,14,tidy_all(library),False
81,0.209138,3.824347,3.824099,0,0,0,False,0,52,176,tidy_all(library),True
82,0.423708,7.920647,6.273434,1.646567,11,11,True,53,53,170,tidy_all(library),False
83,0.435908,9.358402,9.35814,0,11,11,False,33,53,71,tidy_all(library),False
84,0.220794,7.512653,7.512387,0,5,5,False,30,53,68,tidy_all(library),False
85,0.557072,8.253798,8.25349,0,12,12,False,39,53,97,tidy_all(library),False
86,0.380907,8.746316,7.203064,1.542591,13,13,True,54,54,150,tidy_all(library),False
87,0.383579,6.846384,5.461196,1.384471,13,13,True,55,55,165,tidy_all(library),False
88,0.359397,6.45773,5.009957,1.446896,12,12,True,56,56,22,tidy_all(library),False
89,0.404207,9.252429,7.940657,1.311067,9,9,True,57,57,126,tidy_all(library),False
90,0.396303,6.847252,6.846956,0,8,8,False,34,57,45,tidy_all(library),False
91,0.485386,6.712089,5.377273,1.33392,12,12,True,58,58,54,tidy_all(library),False
92,0.222509,6.299839,6.299557,0,4,12,False,58,58,56,tidy_all(library),False
93,0.446261,6.420595,6.420305,0,8,8,False,11,58,139,tidy_all(library),False
94,0.75132,8.328615,5.78866,2.539315,10,10,True,59,59,33,tidy_all(library),False
95,0.21298,4.440686,4.440485,0,0,0,False,0,59,128,tidy_all(library),True
96,0.437119,10.140944,10.140649,0,11,11,False,33,59,71,tidy_all(library),False
97,0.454106,9.378502,9.378233,0,12,12,False,19,59,103,tidy_all(library),False
98,0.337787,6.622155,6.621883,0,10,10,False,14,59,58,tidy_all(library),False
99,0.223685,6.767533,5.659056,1.107767,5,5,True,60,60,63,tidy_all(library),False
100,0.97233,8.823164,6.012577,2.809904,8,8,True,61,61,3,tidy_all(library),False
101,0.414611,8.752918,8.752641,0,11,11,False,15,61,42,tidy_all(library),False
102,0.531573,7.151946,5.794359,1.35689,9,9,True,62,62,62,tidy_all(library),False
103,0.218805,6.87086,6.870593,0,6,12,False,39,62,93,tidy_all(library),False
104,0.80054,9.339288,7.422363,1.91613,11,11,True,63,63,5,tidy_all(library),False
105,0.510293,8.511341,8.51093,0,12,12,False,39,63,81,tidy_all(library),False
106,0.332486,8.514846,6.993673,1.51929,13,13,True,64,64,38,tidy_all(library),False
107,0.739605,7.65686,6.180774,1.475452,8,8,True,65,65,23,tidy_all(library),False
108,0.231809,10.797743,10.797436,0,3,9,False,3,65,44,tidy_all(library),False
109,0.248983,10.198156,10.197875,0,6,6,False,2,65,84,tidy_all(library),False
110,0.34019,8.279589,8.279316,0,10,10,False,14,65,58,tidy_all(library),False
111,0.293504,12.663902,11.155676,1.50745,16,16,True,66,66,102,tidy_all(library),False
112,0.283815,7.789737,7.789433,0,14,14,False,9,66,178,tidy_all(library),False
113,0.210658,5.202894,5.202625,0,0,0,False,0,66,96,tidy_all(library),True
114,0.335851,12.236062,12.235693,0,14,14,False,43,66,98,tidy_all(library),False
115,0.201745,5.136,5.135758,0,0,0,False,0,66,160,tidy_all(library),True
116,0.36851,9.913172,8.208983,1.703454,10,10,True,67,67,46,tidy_all(library),False
117,0.719919,10.797381,8.679838,2.116862,10,10,True,68,68,89,tidy_all(library),False
118,1.085007,12.178148,12.177853,0,8,10,False,8,68,107,tidy_all(library),False
119,0.509153,10.627767,9.050908,1.576142,9,9,True,69,69,123,tidy_all(library),False
120,0.539481,10.830596,10.830315,0,11,11,False,35,69,115,tidy_all(library),False
121,0.230166,8.064374,8.064075,0,4,4,False,46,69,191,tidy_all(library),False
122,0.773269,9.263645,7.374123,1.888777,8,8,True,70,70,57,tidy_all(library),False
123,0.356324,8.100276,8.099995,0,12,12,False,56,70,22,tidy_all(library),False
124,0.280978,8.350445,8.350124,0,14,14,False,9,70,178,tidy_all(library),False
125,0.211726,10.032613,10.032304,0,3,11,False,53,70,172,tidy_all(library),False
126,0.216557,7.941737,7.941429,0,3,7,False,24,70,20,tidy_all(library),False
127,0.450325,9.456038,7.516794,1.938515,10,10,True,71,71,179,tidy_all(library),False
128,0.456485,9.328137,7.608312,1.719164,11,11,True,72,72,18,tidy_all(library),False
129,0.242199,11.192961,11.192663,0,4,10,False,17,72,108,tidy_all(library),False
130,0.292374,12.272115,12.271767,0,16,16,False,66,72,102,tidy_all(library),False
131,0.216602,9.996223,9.995909,0,3,7,False,24,72,20,tidy_all(library),False
132,0.231897,13.504957,13.5047,0,3,7,False,1,72,44,tidy_all(library),False
133,0.875312,10.491557,8.634397,1.856431,8,8,True,73,73,137,tidy_all(library),False
134,0.534837,9.573386,9.573098,0,11,11,False,35,73,115,tidy_all(library),False
135,0.211986,8.723269,8.723006,0,1,5,False,60,73,64,tidy_all(library),False
136,0.661208,9.900633,9.90033,0,8,10,False,71,73,131,tidy_all(library),False
137,0.211626,5.862478,5.862182,0,0,0,False,0,73,176,tidy_all(library),True
138,0.373282,10.121785,10.121487,0,14,14,False,12,73,134,tidy_all(library),False
139,0.238612,12.906844,12.90646,0,6,6,False,2,73,100,tidy_all(library),False
140,0.217059,11.530973,11.530691,0,5,9,False,69,73,124,tidy_all(library),False
141,1.416246,10.835041,10.834693,0,9,11,False,63,73,9,tidy_all(library),False
142,0.214739,10.005437,10.00513,0,3,11,False,53,73,172,tidy_all(library),False
143,0.247624,10.756484,10.756171,0,6,14,False,12,73,136,tidy_all(library),False
144,0.450702,8.909053,8.908778,0,11,11,False,72,73,18,tidy_all(library),False
145,0.214963,10.658991,10.658734,0,3,3,False,31,73,175,tidy_all(library),False
146,0.924982,17.980094,14.11836,3.861029,10,10,True,74,74,99,tidy_all(library),False
147,0.33704,9.182313,9.181897,0,8,8,False,11,74,187,tidy_all(library),False
148,0.319706,10.931476,9.375894,1.554875,15,15,True,75,75,166,tidy_all(library),False
149,0.731129,9.602462,9.602103,0,8,8,False,65,75,23,tidy_all(library),False
150,0.218674,9.637246,9.636927,0,4,4,False,46,75,143,tidy_all(library),False
151,0.41057,11.427413,11.427098,0,13,13,False,40,75,66,tidy_all(library),False
152,0.337406,8.833678,8.833256,0,8,8,False,11,75,187,tidy_all(library),False
153,0.375861,9.998563,8.253656,1.744175,11,11,True,76,76,50,tidy_all(library),False
154,0.429136,13.296299,11.408614,1.886902,12,12,True,77,77,133,tidy_all(library),False
155,0.211516,6.285098,6.28479,0,0,0,False,0,77,128,tidy_all(library),True
156,0.219614,10.795868,10.795517,0,4,8,False,73,77,141,tidy_all(library),False
157,0.283649,10.819467,10.819172,0,7,13,False,55,77,168,tidy_all(library),False
158,0.218729,9.690098,9.689758,0,4,10,False,71,77,143,tidy_all(library),False
159,0.236807,11.286209,11.285881,0,5,9,False,45,77,164,tidy_all(library),False
160,0.291898,12.891249,12.890976,0,7,9,False,36,77,171,tidy_all(library),False
161,0.973381,9.73286,9.732569,0,8,8,False,61,77,3,tidy_all(library),False
