Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0.354694,0.725761,0.238101,0.487009,15,15,True,1,1,0,tidy_all(library),False
2,0.263255,0.734576,0.298574,0.435453,17,16,True,2,2,0,tidy_all(library),False
3,0.281292,0.364008,0.36376,0,17,16,False,2,2,0,tidy_all(library),False
4,0.315541,0.388118,0.387887,0,15,15,False,1,2,0,tidy_all(library),False
5,0.273211,0.77443,0.327908,0.445975,16,16,True,3,3,0,tidy_all(library),False
6,0.376299,0.467014,0.46675,0,17,16,False,2,3,0,tidy_all(library),False
7,0.295137,0.477067,0.476869,0,16,16,False,3,3,0,tidy_all(library),False
8,0.326973,0.980021,0.381651,0.597777,16,16,True,4,4,0,tidy_all(library),False
9,0.324889,0.544027,0.543802,0,15,15,False,1,4,0,tidy_all(library),False
10,0.279256,0.533723,0.533475,0,16,16,False,3,4,0,tidy_all(library),False
11,0.319177,0.548511,0.548296,0,15,15,False,1,4,0,tidy_all(library),False
12,0.330772,0.539774,0.539527,0,15,15,False,1,4,0,tidy_all(library),False
13,0.31553,0.523786,0.523589,0,15,15,False,1,4,0,tidy_all(library),False
14,0.286404,0.536018,0.535782,0,17,16,False,2,4,0,tidy_all(library),False
15,0.336655,0.598522,0.598292,0,15,15,False,1,4,0,tidy_all(library),False
16,0.276253,0.525371,0.525127,0,17,16,False,2,4,0,tidy_all(library),False
17,0.274892,0.537559,0.537334,0,17,16,False,2,4,0,tidy_all(library),False
18,0.272888,0.546782,0.546536,0,17,16,False,2,4,0,tidy_all(library),False
19,0.315808,0.517267,0.516707,0,16,16,False,3,4,0,tidy_all(library),False
20,0.274571,0.556766,0.556542,0,17,16,False,2,4,0,tidy_all(library),False
21,0.30513,0.546295,0.546026,0,17,16,False,2,4,0,tidy_all(library),False
22,0.363913,0.605959,0.605721,0,16,16,False,4,4,0,tidy_all(library),False
23,0.274803,0.554734,0.55449,0,16,16,False,3,4,0,tidy_all(library),False
24,0.316623,0.535268,0.535026,0,15,15,False,1,4,0,tidy_all(library),False
25,0.262411,0.528734,0.528275,0,16,16,False,3,4,0,tidy_all(library),False
26,0.323381,0.538645,0.53839,0,15,15,False,1,4,0,tidy_all(library),False
27,0.332206,0.546524,0.546294,0,16,16,False,4,4,0,tidy_all(library),False
28,0.327603,0.536356,0.536103,0,15,15,False,1,4,0,tidy_all(library),False
29,0.313762,0.536299,0.536055,0,15,15,False,1,4,0,tidy_all(library),False
