Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,3.291758,3.740967,0.404003,3.336578,8,8,True,0,0,194,tidy_all(library),False
2,1.484343,1.814756,0.350235,1.46413,16,16,True,0,0,186,tidy_all(library),False
3,1.271508,1.673727,0.319041,1.354292,17,17,True,0,0,263,tidy_all(library),False
4,9.691539,9.904807,0.44356,9.460776,12,12,True,0,0,126,tidy_all(library),False
5,0.480604,0.767658,0.337281,0.429347,5,5,True,0,0,60,tidy_all(library),False
6,4.734373,3.908246,0.381045,3.526761,9,9,True,0,0,259,tidy_all(library),False
7,0.375499,0.405884,0.405694,0,0,0,False,0,0,150,tidy_all(library),True
8,9.038118,9.498236,0.33159,9.166074,11,11,True,1,1,256,tidy_all(library),False
9,0.397862,1.120153,0.334037,0.785647,7,7,True,0,1,174,tidy_all(library),False
10,2.222504,2.795852,0.539654,2.255578,11,11,True,2,2,169,tidy_all(library),False
11,9.162017,0.41625,0.41471,0,11,11,False,1,2,256,tidy_all(library),False
12,6.303886,6.556139,0.369679,6.185993,12,12,True,0,2,192,tidy_all(library),False
13,1.032315,1.709292,0.423149,1.285765,9,9,True,0,2,210,tidy_all(library),False
14,0.413248,0.718971,0.305708,0.412873,4,4,True,0,2,245,tidy_all(library),False
15,0.727694,1.159067,0.376821,0.781728,20,20,True,0,2,188,tidy_all(library),False
16,2.674799,3.515296,0.600594,2.913005,12,12,True,0,2,139,tidy_all(library),False
17,0.336565,0.366407,0.365034,0,0,0,False,0,2,175,tidy_all(library),True
18,0.656174,1.483878,0.60983,0.873608,6,6,True,0,2,24,tidy_all(library),False
19,2.065597,2.461935,0.341462,2.120082,10,10,True,0,2,279,tidy_all(library),False
20,2.601519,2.862086,0.297644,2.56287,13,13,True,0,2,114,tidy_all(library),False
21,0.49043,0.947033,0.355826,0.590798,8,8,True,0,2,140,tidy_all(library),False
22,2.780744,3.002977,0.33836,2.664147,12,12,True,0,2,139,tidy_all(library),False
23,0.687973,1.006234,0.336537,0.66934,17,17,True,0,2,211,tidy_all(library),False
24,1.934813,2.419213,0.317307,2.101432,12,12,True,0,2,239,tidy_all(library),False
25,5.143794,10.418975,0.324377,10.094254,10,10,True,0,2,64,tidy_all(library),False
26,5.482979,5.003848,0.318997,4.684504,12,12,True,0,2,11,tidy_all(library),False
27,3.889252,4.568256,0.476096,4.091763,10,10,True,0,2,129,tidy_all(library),False
28,4.632716,5.071916,0.394084,4.677473,12,12,True,0,2,11,tidy_all(library),False
29,2.296578,2.684121,0.363922,2.319591,9,9,True,0,2,39,tidy_all(library),False
30,6.971538,7.037092,0.329869,6.705143,10,10,True,0,2,179,tidy_all(library),False
31,0.456706,1.010829,0.396328,0.614085,6,6,True,0,2,247,tidy_all(library),False
32,2.674218,3.040108,0.383032,2.65662,7,7,True,0,2,19,tidy_all(library),False
33,1.981396,3.252162,1.192628,2.059039,11,11,True,3,3,204,tidy_all(library),False
34,5.403774,5.734711,0.411859,5.320715,11,11,True,4,4,252,tidy_all(library),False
35,4.668622,4.556621,0.342794,4.213333,8,8,True,0,4,54,tidy_all(library),False
36,2.282633,3.212726,0.38862,2.82375,10,10,True,0,4,294,tidy_all(library),False
37,0.815547,0.804673,0.338345,0.465995,5,5,True,0,4,49,tidy_all(library),False
38,0.346514,0.415086,0.414896,0,5,5,False,1,4,260,tidy_all(library),False
39,0.364501,0.799969,0.371768,0.427312,6,6,True,0,4,65,tidy_all(library),False
40,3.12675,3.477772,0.351746,3.125615,12,12,True,0,4,281,tidy_all(library),False
41,2.338416,2.636219,0.351065,2.284594,10,10,True,0,4,284,tidy_all(library),False
