Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,3.532709,3.477205,0.338498,3.138234,8,8,True,0,0,198,tidy_all(library),False
2,12.756,15.525976,0.533176,14.991931,17,17,True,0,0,484,tidy_all(library),False
3,0.573797,0.86178,0.37347,0.487953,7,7,True,0,0,355,tidy_all(library),False
4,18.865425,18.682504,0.335131,18.34701,15,15,True,0,0,517,tidy_all(library),False
5,0.464394,0.928252,0.37468,0.553047,6,6,True,0,0,392,tidy_all(library),False
6,0.496987,1.14377,0.464015,0.677888,7,7,True,0,0,536,tidy_all(library),False
7,11.605332,13.039181,0.408429,12.630396,18,18,True,0,0,195,tidy_all(library),False
8,77.493957,83.902734,0.391299,83.511078,12,12,True,0,0,299,tidy_all(library),False
9,0.57842,0.960909,0.422332,0.538117,7,7,True,0,0,247,tidy_all(library),False
10,2.171855,2.316788,0.307172,2.009215,19,19,True,0,0,343,tidy_all(library),False
11,56.395301,55.209856,0.319178,54.890231,11,11,True,0,0,155,tidy_all(library),False
12,62.059337,61.669712,0.491946,61.17715,13,13,True,1,1,229,tidy_all(library),False
13,0.381273,0.434111,0.433949,0,0,0,False,0,1,252,tidy_all(library),True
14,3.083885,4.423213,0.581028,3.841764,19,19,True,0,1,333,tidy_all(library),False
15,11.883159,13.001547,0.38745,12.613774,15,15,True,0,1,28,tidy_all(library),False
16,27.83749,31.270675,0.562056,30.708254,10,10,True,0,1,545,tidy_all(library),False
17,77.236323,75.108278,0.390557,74.717291,11,11,True,0,1,505,tidy_all(library),False
18,32.320616,39.024904,0.30489,38.719569,14,14,True,0,1,271,tidy_all(library),False
19,14.549452,14.799821,0.341286,14.458092,12,12,True,0,1,564,tidy_all(library),False
20,7.453029,7.536628,0.350689,7.185536,17,17,True,0,1,52,tidy_all(library),False
21,0.391432,0.673156,0.307561,0.365283,5,5,True,0,1,510,tidy_all(library),False
22,23.240294,23.454304,0.619681,22.833492,11,11,True,0,1,493,tidy_all(library),False
23,65.479296,67.199624,0.326288,66.87298,10,10,True,0,1,209,tidy_all(library),False
24,11.085072,11.463654,0.328648,11.13448,13,13,True,2,2,424,tidy_all(library),False
25,0.531237,0.809245,0.337155,0.471727,7,7,True,0,2,96,tidy_all(library),False
26,12.015112,12.643998,0.33604,12.307462,13,13,True,3,3,470,tidy_all(library),False
27,23.884036,24.391919,0.322119,24.069413,9,9,True,0,3,522,tidy_all(library),False
