Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,18.120116,18.381656,0.413071,17.967426,15,15,True,0,0,51,tidy_all(library),False
2,42.202164,41.904666,0.254671,41.649547,13,13,True,1,1,27,tidy_all(library),False
3,16.139256,16.273223,0.287133,15.985637,14,14,True,0,1,373,tidy_all(library),False
4,5.347194,5.608732,0.276389,5.331844,13,13,True,2,2,358,tidy_all(library),False
5,1.911631,2.205459,0.287571,1.917504,21,21,True,0,2,520,tidy_all(library),False
6,0.333479,0.618402,0.294503,0.323494,1,1,True,0,2,72,tidy_all(library),False
7,14.989841,15.246196,0.281979,14.963695,8,8,True,0,2,47,tidy_all(library),False
8,17.550406,17.908643,0.297993,17.61018,14,14,True,0,2,363,tidy_all(library),False
9,1.798337,2.08944,0.289473,1.799561,20,20,True,0,2,555,tidy_all(library),False
10,0.325304,0.601595,0.28523,0.316021,4,4,True,0,2,391,tidy_all(library),False
11,38.719768,39.050319,0.298135,38.751797,14,14,True,0,2,75,tidy_all(library),False
12,19.666653,19.72931,0.288463,19.440371,15,15,True,0,2,20,tidy_all(library),False
13,9.062538,9.294565,0.282511,9.011698,16,16,True,0,2,364,tidy_all(library),False
14,25.600723,25.916085,0.317957,25.597505,12,12,True,0,2,377,tidy_all(library),False
15,10.233779,10.485766,0.290484,10.19493,10,10,True,0,2,214,tidy_all(library),False
16,0.31812,0.334362,0.334206,0,0,0,False,0,2,216,tidy_all(library),True
17,25.296906,25.594856,0.284942,25.309536,14,14,True,0,2,368,tidy_all(library),False
18,4.967392,5.222798,0.288885,4.933506,17,17,True,0,2,337,tidy_all(library),False
19,48.783644,49.42455,0.293568,49.130595,10,10,True,0,2,361,tidy_all(library),False
20,19.87399,20.20924,0.295263,19.91357,12,12,True,0,2,566,tidy_all(library),False
21,0.321799,0.33656,0.336374,0,0,0,False,0,2,504,tidy_all(library),True
22,51.320155,51.900934,0.291061,51.609515,14,14,True,0,2,14,tidy_all(library),False
