Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0.567629,0.983391,0.397934,0.58502,7,7,True,0,0,501,tidy_all(library),False
2,10.285478,10.266046,0.318906,9.94669,16,16,True,1,1,4,tidy_all(library),False
3,35.07793,35.878055,0.580371,35.29722,13,13,True,2,2,122,tidy_all(library),False
4,38.94105,38.836001,0.335652,38.499976,8,8,True,0,2,119,tidy_all(library),False
5,29.109313,28.5623,0.339834,28.22203,12,12,True,3,3,127,tidy_all(library),False
6,0.986388,0.765489,0.342835,0.422277,8,8,True,0,3,283,tidy_all(library),False
7,3.617706,3.98914,0.366243,3.622524,18,18,True,0,3,130,tidy_all(library),False
8,11.298886,11.695064,0.349648,11.344825,16,16,True,4,4,374,tidy_all(library),False
9,2.177631,2.316594,0.363357,1.952844,22,22,True,0,4,309,tidy_all(library),False
10,41.645077,38.268639,0.798769,37.469481,9,9,True,0,4,177,tidy_all(library),False
11,68.755198,69.541698,0.443739,69.097396,13,13,True,5,5,80,tidy_all(library),False
12,26.243381,27.523586,1.350776,26.172231,12,12,True,6,6,377,tidy_all(library),False
13,9.704169,10.134511,0.385089,9.748889,14,14,True,7,7,383,tidy_all(library),False
14,5.716887,6.095486,0.376762,5.715772,17,17,True,0,7,10,tidy_all(library),False
15,15.813195,16.089463,0.373517,15.713948,14,14,True,8,8,56,tidy_all(library),False
16,6.180473,6.971072,0.410117,6.56035,16,16,True,9,9,379,tidy_all(library),False
17,7.941846,8.658666,0.373231,8.285058,17,17,True,0,9,518,tidy_all(library),False
18,1.13819,0.772545,0.362273,0.409754,6,6,True,0,9,211,tidy_all(library),False
19,76.668156,76.809845,0.411066,76.398039,13,13,True,10,10,151,tidy_all(library),False
20,4.481229,4.471364,0.42085,4.050065,20,20,True,0,10,308,tidy_all(library),False
21,38.68661,39.224105,0.441454,38.782104,12,12,True,11,11,275,tidy_all(library),False
22,40.257804,41.407236,0.832731,40.573842,12,12,True,12,12,197,tidy_all(library),False
23,54.359543,55.041758,0.531267,54.509975,12,12,True,13,13,434,tidy_all(library),False
24,0.438949,1.499391,0.44939,1.049637,6,6,True,0,13,462,tidy_all(library),False
25,0.597212,1.004036,0.438256,0.565383,7,7,True,0,13,330,tidy_all(library),False
26,1.131255,1.528256,0.483349,1.044539,24,24,True,0,13,562,tidy_all(library),False
27,19.888941,19.330181,0.483148,18.846521,13,13,True,14,14,325,tidy_all(library),False
28,0.345732,0.965101,0.964918,0,0,0,False,0,14,324,tidy_all(library),True
29,0.922852,1.17298,0.435843,0.735609,8,8,True,0,14,466,tidy_all(library),False
30,0.420592,0.58417,0.583931,0,5,5,False,2,14,126,tidy_all(library),False
31,19.381405,18.113088,0.456743,17.655095,9,9,True,0,14,356,tidy_all(library),False
32,3.971741,6.114096,1.887398,4.22626,18,18,True,0,14,375,tidy_all(library),False
33,7.517713,8.072124,0.545253,7.526489,17,17,True,0,14,332,tidy_all(library),False
34,20.193641,22.331795,0.550401,21.780928,12,12,True,15,15,566,tidy_all(library),False
35,4.605411,5.0043,0.465374,4.538361,16,16,True,16,16,568,tidy_all(library),False
36,0.541679,1.675771,1.114077,0.56022,4,4,True,0,16,323,tidy_all(library),False
37,34.27676,37.16836,0.455249,36.712627,15,15,True,17,17,81,tidy_all(library),False
38,27.501612,29.541662,0.519485,29.021732,17,17,True,0,17,231,tidy_all(library),False
39,37.569144,0.723984,0.723701,0,15,15,False,17,17,81,tidy_all(library),False
40,2.229453,2.529878,0.543999,1.985385,20,20,True,0,17,555,tidy_all(library),False
41,23.34804,21.022016,0.522764,20.498755,15,15,True,18,18,20,tidy_all(library),False
42,0.64612,0.880837,0.880577,0,0,0,False,0,18,540,tidy_all(library),True
43,31.923169,31.664852,0.730624,30.932932,10,10,True,19,19,565,tidy_all(library),False
44,63.694855,60.889871,0.569028,60.320003,13,13,True,20,20,511,tidy_all(library),False
