Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,13.454812,13.52521,0.384052,13.140433,14,14,True,1,1,547,tidy_all(library),False
2,0.752401,1.138774,0.412018,0.725955,7,7,True,2,2,249,tidy_all(library),False
3,23.229515,22.772897,0.464985,22.307409,8,8,True,3,3,320,tidy_all(library),False
4,0.768341,1.021476,0.348121,0.67281,6,6,True,4,4,438,tidy_all(library),False
5,19.886296,20.361952,0.478483,19.882899,17,17,True,5,5,153,tidy_all(library),False
6,3.467644,3.941643,0.387228,3.55374,20,20,True,6,6,196,tidy_all(library),False
7,16.804591,16.318956,0.476016,15.842276,14,14,True,7,7,56,tidy_all(library),False
8,73.046909,71.774997,0.379663,71.394797,11,11,True,8,8,505,tidy_all(library),False
9,0.562159,1.308878,0.422073,0.886261,3,3,True,9,9,42,tidy_all(library),False
10,16.163042,18.28041,0.471122,17.808509,15,15,True,10,10,123,tidy_all(library),False
11,5.908814,6.121176,0.392805,5.727556,17,17,True,11,11,10,tidy_all(library),False
12,7.130177,6.915988,0.442088,6.47326,16,16,True,12,12,379,tidy_all(library),False
13,0.515471,1.016495,0.478135,0.537761,4,4,True,13,13,575,tidy_all(library),False
14,67.886518,70.92673,0.444033,70.482105,13,13,True,14,14,8,tidy_all(library),False
15,16.425258,17.185514,0.496946,16.687965,15,15,True,15,15,507,tidy_all(library),False
16,1.453412,2.131247,0.781682,1.346816,22,22,True,16,16,556,tidy_all(library),False
17,0.571196,1.144852,0.637949,0.50632,3,3,True,17,17,534,tidy_all(library),False
18,2.12756,3.1722,0.494388,2.677202,21,21,True,18,18,520,tidy_all(library),False
19,25.654125,25.580328,0.671081,24.908558,11,11,True,19,19,493,tidy_all(library),False
20,6.959828,0.948267,0.947958,0,18,20,False,6,19,268,tidy_all(library),False
21,0.565107,0.679649,0.679357,0,5,5,False,10,19,126,tidy_all(library),False
22,0.421692,1.131094,1.130463,0,5,5,False,14,19,12,tidy_all(library),False
23,19.018191,20.390444,0.549485,19.840398,13,13,True,20,20,350,tidy_all(library),False
24,61.02145,59.909133,0.543735,59.364846,13,13,True,21,21,219,tidy_all(library),False
25,1.018961,1.350137,0.531777,0.817537,8,8,True,22,22,270,tidy_all(library),False
26,24.351412,25.398188,0.695102,24.701708,7,7,True,23,23,101,tidy_all(library),False
27,0.490684,1.155336,0.641465,0.51328,8,8,True,24,24,282,tidy_all(library),False
28,17.032657,18.073853,0.981938,17.091364,10,10,True,25,25,204,tidy_all(library),False
29,20.077385,22.308218,1.209309,21.097965,15,15,True,26,26,20,tidy_all(library),False
30,27.608345,27.42185,0.95012,26.471083,9,9,True,27,27,537,tidy_all(library),False
31,1.364467,0.777636,0.77726,0,22,22,False,16,27,556,tidy_all(library),False
32,39.690443,41.744818,0.633481,41.108869,15,15,True,28,28,81,tidy_all(library),False
33,11.972025,14.059795,0.928472,13.130623,13,13,True,29,29,142,tidy_all(library),False
34,17.850423,22.032454,0.981527,21.050264,12,12,True,30,30,105,tidy_all(library),False
35,0.47486,1.35944,0.80237,0.556489,3,3,True,31,31,539,tidy_all(library),False
36,21.541154,20.038476,0.679698,19.358034,14,14,True,32,32,373,tidy_all(library),False
37,69.96925,52.063483,0.796785,51.265945,11,11,True,33,33,413,tidy_all(library),False
38,61.893666,64.778932,1.694273,63.083701,9,9,True,34,34,336,tidy_all(library),False
39,34.964768,37.590419,1.843199,35.746409,14,14,True,35,35,208,tidy_all(library),False
40,0.883642,1.678971,1.678537,0,1,1,False,29,35,108,tidy_all(library),False
41,2.386607,1.63636,1.635998,0,22,22,False,16,35,556,tidy_all(library),False
42,62.406723,64.221676,1.514089,62.706191,12,12,True,36,36,433,tidy_all(library),False
43,2.342647,3.87186,1.404676,2.466324,23,23,True,37,37,526,tidy_all(library),False
44,0.805384,1.497393,1.497143,0,0,0,False,0,37,468,tidy_all(library),True
45,61.924767,60.231984,1.783216,58.447137,11,11,True,38,38,494,tidy_all(library),False
46,3.513697,4.539183,1.420015,3.117106,20,20,True,39,39,560,tidy_all(library),False
47,28.132254,31.3458,1.473238,29.870117,14,14,True,40,40,436,tidy_all(library),False
48,0.898611,2.683882,1.758197,0.924622,6,6,True,41,41,215,tidy_all(library),False
49,78.68359,77.699726,1.488213,76.210538,12,12,True,42,42,387,tidy_all(library),False
50,0.725757,2.165378,1.389067,0.775578,7,7,True,43,43,503,tidy_all(library),False
51,3.360352,5.087464,1.715694,3.370925,20,20,True,44,44,555,tidy_all(library),False
52,0.814486,2.542112,1.904641,0.636709,1,1,True,45,45,36,tidy_all(library),False
53,112.23754,105.871637,1.732982,104.137865,10,10,True,46,46,1,tidy_all(library),False
54,17.191444,18.810537,1.92385,16.885801,18,18,True,47,47,273,tidy_all(library),False
