Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0,5.626012,0.400612,5.224573,0,20,True,0,0,1,tidy_all(library),False
2,0,10.370664,0.394394,9.975281,0,18,True,0,0,2,tidy_all(library),False
3,0,16.138041,0.366084,15.771373,0,16,True,0,0,3,tidy_all(library),False
4,0,33.13039,0.361997,32.767737,0,14,True,1,1,4,tidy_all(library),False
5,0,42.468496,0.409659,42.058,0,12,True,2,2,5,tidy_all(library),False
6,0,0.474641,0.474229,0,0,8,False,2,2,6,tidy_all(library),False
7,0,7.737733,0.384066,7.353133,0,18,True,0,2,7,tidy_all(library),False
8,0,8.455855,0.390608,8.064678,0,18,True,0,2,8,tidy_all(library),False
9,0,16.58705,0.407496,16.17911,0,16,True,0,2,9,tidy_all(library),False
10,0,30.238456,0.427927,29.80984,0,14,True,3,3,10,tidy_all(library),False
11,0,27.392237,0.492952,26.898501,0,12,True,4,4,11,tidy_all(library),False
12,0,0.567988,0.567755,0,0,8,False,4,4,12,tidy_all(library),False
13,0,19.317523,0.376629,18.940311,0,16,True,0,4,13,tidy_all(library),False
14,0,23.278888,0.382251,22.8961,0,16,True,0,4,14,tidy_all(library),False
15,0,27.427678,0.383441,27.043759,0,16,True,0,4,15,tidy_all(library),False
16,0,32.731647,0.375448,32.355474,0,14,True,5,5,16,tidy_all(library),False
17,0,25.730895,0.398775,25.331329,0,12,True,6,6,17,tidy_all(library),False
18,0,0.63421,0.633825,0,0,8,False,6,6,18,tidy_all(library),False
19,0,45.247008,0.468422,44.777828,0,14,True,7,7,19,tidy_all(library),False
20,0,27.393277,0.408371,26.984214,0,14,True,8,8,20,tidy_all(library),False
21,0,70.354739,0.438072,69.915847,0,14,True,9,9,21,tidy_all(library),False
22,0,89.058886,0.936327,88.121688,0,14,True,10,10,22,tidy_all(library),False
23,0,61.770352,1.09081,60.67858,0,12,True,11,11,23,tidy_all(library),False
24,0,0.639545,0.639101,0,0,8,False,11,11,24,tidy_all(library),False
25,0,34.56743,0.491397,34.075303,0,12,True,12,12,25,tidy_all(library),False
26,0,38.307629,0.490615,37.813242,0,12,True,13,13,26,tidy_all(library),False
27,0,32.784633,1.016939,31.766062,0,12,True,14,14,27,tidy_all(library),False
28,0,29.167449,0.507417,28.659266,0,12,True,15,15,28,tidy_all(library),False
29,0,56.302083,0.485952,55.813483,0,12,True,16,16,29,tidy_all(library),False
30,0,1.310802,0.71426,0.594409,0,8,True,0,16,30,tidy_all(library),False
31,0,0.722167,0.721536,0,0,8,False,7,16,31,tidy_all(library),False
32,0,0.729598,0.728977,0,0,8,False,13,16,32,tidy_all(library),False
33,0,0.719292,0.718985,0,0,8,False,14,16,33,tidy_all(library),False
34,0,0.732766,0.732431,0,0,8,False,10,16,34,tidy_all(library),False
35,0,0.692937,0.692413,0,0,8,False,16,16,35,tidy_all(library),False
36,0,0.705843,0.705547,0,0,0,False,0,16,36,tidy_all(library),True
37,0,4.044005,0.538757,3.504729,0,21,True,0,16,37,tidy_all(library),False
38,0,9.628901,0.600851,9.027128,0,19,True,0,16,38,tidy_all(library),False
39,0,28.054382,0.737962,27.315683,0,17,True,0,16,39,tidy_all(library),False
40,0,44.300186,1.433029,42.866508,0,15,True,0,16,40,tidy_all(library),False
41,0,51.691192,1.331174,50.359295,0,13,True,17,17,41,tidy_all(library),False
42,0,0.773278,0.772831,0,0,9,False,17,17,42,tidy_all(library),False
43,0,9.730322,0.568207,9.161344,0,19,True,0,17,43,tidy_all(library),False
44,0,28.416155,0.75461,27.660896,0,17,True,0,17,44,tidy_all(library),False
