Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0,5.191353,0.529587,4.660432,0,20,True,0,0,1,tidy_all(library),False
2,0,9.762818,0.389151,9.373218,0,18,True,0,0,2,tidy_all(library),False
3,0,17.837367,0.328348,17.50858,0,16,True,0,0,3,tidy_all(library),False
4,0,42.200567,0.792093,41.407951,0,14,True,0,0,4,tidy_all(library),False
5,0,63.667948,0.348108,63.319434,0,12,True,0,0,5,tidy_all(library),False
6,0,1.359023,0.412504,0.946068,0,8,True,0,0,6,tidy_all(library),False
7,0,11.001193,0.508397,10.492251,0,18,True,0,0,7,tidy_all(library),False
8,0,12.239839,0.400257,11.838842,0,18,True,0,0,8,tidy_all(library),False
9,0,31.136308,0.567549,30.567089,0,16,True,0,0,9,tidy_all(library),False
10,0,39.615218,1.042244,38.572484,0,14,True,0,0,10,tidy_all(library),False
11,0,28.933432,0.37357,28.558322,0,12,True,0,0,11,tidy_all(library),False
12,0,1.523145,0.473465,1.04791,0,8,True,0,0,12,tidy_all(library),False
13,0,24.448294,0.366192,24.081265,0,16,True,0,0,13,tidy_all(library),False
14,0,32.899219,0.507367,32.391452,0,16,True,0,0,14,tidy_all(library),False
15,0,47.02351,0.693385,46.32965,0,16,True,0,0,15,tidy_all(library),False
16,0,50.643918,0.470415,50.172832,0,14,True,0,0,16,tidy_all(library),False
17,0,36.004558,0.359353,35.644691,0,12,True,0,0,17,tidy_all(library),False
18,0,7.659811,0.494517,7.164528,0,8,True,0,0,18,tidy_all(library),False
19,0,65.889087,0.476906,65.411593,0,14,True,0,0,19,tidy_all(library),False
20,0,32.584289,0.361865,32.221466,0,14,True,0,0,20,tidy_all(library),False
21,0,45.907143,0.52207,45.384549,0,14,True,0,0,21,tidy_all(library),False
22,0,49.146506,0.376423,48.769651,0,14,True,0,0,22,tidy_all(library),False
23,0,37.193526,0.413329,36.779722,0,12,True,0,0,23,tidy_all(library),False
24,0,1.274386,0.359931,0.913974,0,8,True,0,0,24,tidy_all(library),False
25,0,35.711786,0.372921,35.338489,0,12,True,0,0,25,tidy_all(library),False
26,0,21.248812,0.595677,20.652373,0,12,True,0,0,26,tidy_all(library),False
27,0,43.346493,0.355568,42.990419,0,12,True,0,0,27,tidy_all(library),False
28,0,34.38576,0.407817,33.977468,0,12,True,0,0,28,tidy_all(library),False
29,0,39.771961,0.354611,39.416867,0,12,True,0,0,29,tidy_all(library),False
30,0,0.97962,0.417437,0.561663,0,8,True,0,0,30,tidy_all(library),False
31,0,3.295021,0.391559,2.903063,0,8,True,0,0,31,tidy_all(library),False
32,0,7.915225,0.522973,7.391789,0,8,True,0,0,32,tidy_all(library),False
33,0,6.324864,0.352567,5.971901,0,8,True,0,0,33,tidy_all(library),False
34,0,1.001254,0.422172,0.578558,0,8,True,0,0,34,tidy_all(library),False
35,0,1.044887,0.423657,0.620864,0,8,True,0,0,35,tidy_all(library),False
36,0,0.538551,0.538392,0,0,0,False,0,0,36,tidy_all(library),True
37,0,5.216396,0.431426,4.78459,0,21,True,0,0,37,tidy_all(library),False
38,0,9.619608,0.500456,9.118725,0,19,True,0,0,38,tidy_all(library),False
39,0,15.59638,0.518121,15.077823,0,17,True,0,0,39,tidy_all(library),False
40,0,25.613036,0.413989,25.198683,0,15,True,0,0,40,tidy_all(library),False
41,0,31.406192,0.388403,31.01717,0,13,True,1,1,41,tidy_all(library),False
42,0,0.581065,0.58082,0,0,9,False,1,1,42,tidy_all(library),False
43,0,10.524288,0.439148,10.084597,0,19,True,0,1,43,tidy_all(library),False
44,0,33.929759,0.462564,33.466793,0,17,True,0,1,44,tidy_all(library),False
45,0,65.409019,0.414728,64.993901,0,15,True,0,1,45,tidy_all(library),False
46,0,97.311507,0.428598,96.880638,0,13,True,2,2,46,tidy_all(library),False
47,0,44.01396,0.460643,43.55154,0,11,True,0,2,47,tidy_all(library),False
48,0,0.663857,0.662818,0,0,7,False,2,2,48,tidy_all(library),False
49,0,16.571089,0.420513,16.15008,0,17,True,0,2,49,tidy_all(library),False
50,0,76.80048,0.45842,76.341525,0,15,True,0,2,50,tidy_all(library),False
51,0,115.873205,0.40666,115.465969,0,15,True,0,2,51,tidy_all(library),False
52,0,66.79425,0.552428,66.24121,0,13,True,3,3,52,tidy_all(library),False
53,0,41.712054,0.387773,41.323787,0,11,True,0,3,53,tidy_all(library),False
