Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0,9.907454,5.768356,4.138535,0,20,True,0,138,1,tidy_all(library),False
2,0,15.349426,5.874319,9.47447,0,18,True,0,138,2,tidy_all(library),False
3,0,24.073694,7.770397,16.3026,0,16,True,0,138,3,tidy_all(library),False
4,0,6.177761,6.177314,0,0,14,False,1,138,4,tidy_all(library),False
5,0,7.150315,7.14985,0,0,12,False,2,138,5,tidy_all(library),False
6,0,6.566008,6.565524,0,0,8,False,2,138,6,tidy_all(library),False
7,0,12.396236,4.998016,7.397619,0,18,True,0,138,7,tidy_all(library),False
8,0,15.13625,6.92393,8.211523,0,18,True,0,138,8,tidy_all(library),False
9,0,21.359214,7.296483,14.062079,0,16,True,0,138,9,tidy_all(library),False
10,0,6.439956,6.439505,0,0,14,False,3,138,10,tidy_all(library),False
11,0,7.940869,7.940418,0,0,12,False,4,138,11,tidy_all(library),False
12,0,7.237769,7.237113,0,0,8,False,3,138,12,tidy_all(library),False
13,0,23.57066,5.538652,18.031224,0,16,True,0,138,13,tidy_all(library),False
14,0,28.668794,6.386323,22.281877,0,16,True,0,138,14,tidy_all(library),False
15,0,31.810444,6.079306,25.730412,0,16,True,0,138,15,tidy_all(library),False
16,0,5.217258,5.216711,0,0,14,False,5,138,16,tidy_all(library),False
17,0,6.297347,6.295499,0,0,12,False,6,138,17,tidy_all(library),False
18,0,6.561336,6.558466,0,0,8,False,5,138,18,tidy_all(library),False
19,0,5.752964,5.75244,0,0,14,False,7,138,19,tidy_all(library),False
20,0,6.497325,6.496827,0,0,14,False,8,138,20,tidy_all(library),False
21,0,6.332038,6.330081,0,0,14,False,9,138,21,tidy_all(library),False
22,0,6.0556,6.053337,0,0,14,False,10,138,22,tidy_all(library),False
23,0,6.706629,6.702852,0,0,12,False,11,138,23,tidy_all(library),False
24,0,5.474697,5.473533,0,0,8,False,11,138,24,tidy_all(library),False
25,0,6.973294,6.972864,0,0,12,False,12,138,25,tidy_all(library),False
26,0,9.208759,9.208198,0,0,12,False,13,138,26,tidy_all(library),False
27,0,6.95435,6.952468,0,0,12,False,14,138,27,tidy_all(library),False
28,0,6.680066,6.679269,0,0,12,False,15,138,28,tidy_all(library),False
29,0,6.82812,6.827655,0,0,12,False,16,138,29,tidy_all(library),False
30,0,7.500215,6.806864,0.692744,0,8,True,0,138,30,tidy_all(library),False
31,0,6.465478,6.465015,0,0,8,False,12,138,31,tidy_all(library),False
32,0,8.8911,8.890644,0,0,8,False,8,138,32,tidy_all(library),False
33,0,6.7356,6.735076,0,0,8,False,9,138,33,tidy_all(library),False
34,0,6.393824,6.393356,0,0,8,False,15,138,34,tidy_all(library),False
35,0,9.419777,9.41934,0,0,8,False,16,138,35,tidy_all(library),False
36,0,2.393845,2.393462,0,0,0,False,0,138,36,tidy_all(library),True
37,0,10.857618,7.704333,3.152585,0,21,True,0,138,37,tidy_all(library),False
38,0,15.623041,8.282145,7.340318,0,19,True,0,138,38,tidy_all(library),False
39,0,18.021678,5.864577,12.156443,0,17,True,0,138,39,tidy_all(library),False
40,0,6.829521,6.829056,0,0,15,False,17,138,40,tidy_all(library),False
41,0,8.898565,8.898094,0,0,13,False,18,138,41,tidy_all(library),False
42,0,6.412767,6.41219,0,0,9,False,17,138,42,tidy_all(library),False
43,0,13.77393,6.16078,7.612495,0,19,True,0,138,43,tidy_all(library),False
44,0,32.378687,6.363467,26.014601,0,17,True,0,138,44,tidy_all(library),False
45,0,7.637425,7.636816,0,0,15,False,19,138,45,tidy_all(library),False
46,0,7.328977,7.328521,0,0,13,False,20,138,46,tidy_all(library),False
47,0,6.696285,6.69587,0,0,13,False,34,138,47,tidy_all(library),False
48,0,7.174413,7.173971,0,0,7,False,19,138,48,tidy_all(library),False
49,0,18.86866,7.491417,11.376664,0,17,True,0,138,49,tidy_all(library),False
50,0,7.052417,7.051873,0,0,15,False,21,138,50,tidy_all(library),False
51,0,5.806906,5.806413,0,0,15,False,22,138,51,tidy_all(library),False
52,0,6.310603,6.310132,0,0,13,False,23,138,52,tidy_all(library),False
53,0,34.033196,6.086048,27.945705,0,11,True,0,138,53,tidy_all(library),False
54,0,6.445491,6.443592,0,0,7,False,22,138,54,tidy_all(library),False
55,0,6.091472,6.088623,0,0,15,False,24,138,55,tidy_all(library),False
56,0,9.568869,9.568422,0,0,13,False,25,138,56,tidy_all(library),False
57,0,6.635041,6.63455,0,0,13,False,26,138,57,tidy_all(library),False
58,0,8.59078,8.590247,0,0,13,False,27,138,58,tidy_all(library),False
59,0,73.833152,8.251254,65.581153,0,11,True,0,138,59,tidy_all(library),False
60,0,7.323635,7.32297,0,0,7,False,27,138,60,tidy_all(library),False
61,0,6.952631,6.951608,0,0,13,False,28,138,61,tidy_all(library),False
62,0,7.316589,7.316029,0,0,13,False,37,138,62,tidy_all(library),False
63,0,50.301653,6.746709,43.55409,0,11,True,0,138,63,tidy_all(library),False
64,0,34.514329,6.852424,27.661306,0,11,True,0,138,64,tidy_all(library),False
65,0,48.869808,8.555094,40.313876,0,11,True,0,138,65,tidy_all(library),False
66,0,8.100417,6.044824,2.053286,0,7,True,0,138,66,tidy_all(library),False
67,0,6.803188,6.800436,0,0,9,False,28,138,67,tidy_all(library),False
68,0,6.324612,6.324128,0,0,7,False,21,138,68,tidy_all(library),False
69,0,6.717385,6.716909,0,0,7,False,26,138,69,tidy_all(library),False
70,0,6.057528,5.5439,0.513011,0,7,True,0,138,70,tidy_all(library),False
71,0,5.481791,4.734383,0.746772,0,7,True,0,138,71,tidy_all(library),False
72,0,2.868602,2.868228,0,0,0,False,0,138,72,tidy_all(library),True
73,0,8.820361,6.972861,1.846827,0,22,True,0,138,73,tidy_all(library),False
74,0,10.367995,5.323621,5.043701,0,20,True,0,138,74,tidy_all(library),False
75,0,16.397311,7.531224,8.865201,0,18,True,0,138,75,tidy_all(library),False
76,0,20.115863,5.480916,14.634288,0,16,True,0,138,76,tidy_all(library),False
77,0,7.229396,7.228911,0,0,14,False,29,138,77,tidy_all(library),False
78,0,7.225162,7.224743,0,0,10,False,29,138,78,tidy_all(library),False
79,0,10.338477,6.607296,3.730521,0,20,True,0,138,79,tidy_all(library),False
80,0,17.221492,5.641486,11.579101,0,18,True,0,138,80,tidy_all(library),False
81,0,37.125711,5.905465,31.219664,0,16,True,0,138,81,tidy_all(library),False
82,0,6.634088,6.633588,0,0,14,False,3,138,82,tidy_all(library),False
83,0,7.311657,7.311242,0,0,12,False,4,138,83,tidy_all(library),False
84,0,6.983318,6.982779,0,0,8,False,3,138,84,tidy_all(library),False
85,0,13.77307,5.408677,8.363637,0,18,True,0,138,85,tidy_all(library),False
86,0,34.492026,5.763226,28.727892,0,16,True,0,138,86,tidy_all(library),False
87,0,5.680468,5.678575,0,0,14,False,30,138,87,tidy_all(library),False
88,0,5.681477,5.680967,0,0,14,False,1,138,88,tidy_all(library),False
89,0,7.383745,7.383293,0,0,12,False,2,138,89,tidy_all(library),False
90,0,5.719034,5.718538,0,0,6,False,30,138,90,tidy_all(library),False
91,0,21.076492,6.121777,14.948674,0,16,True,0,138,91,tidy_all(library),False
92,0,6.719493,6.716451,0,0,14,False,8,138,92,tidy_all(library),False
93,0,8.49662,8.495985,0,0,14,False,7,138,93,tidy_all(library),False
94,0,7.81794,7.817394,0,0,14,False,10,138,94,tidy_all(library),False
95,0,5.51379,5.513317,0,0,12,False,11,138,95,tidy_all(library),False
96,0,6.373341,6.372866,0,0,8,False,11,138,96,tidy_all(library),False
97,0,6.351156,6.350593,0,0,14,False,31,138,97,tidy_all(library),False
98,0,5.974259,5.973714,0,0,12,False,13,138,98,tidy_all(library),False
99,0,6.467792,6.467265,0,0,12,False,12,138,99,tidy_all(library),False
100,0,6.052246,6.051765,0,0,12,False,15,138,100,tidy_all(library),False
101,0,7.917413,7.916984,0,0,12,False,16,138,101,tidy_all(library),False
