Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0,6.925965,1.077681,5.847016,0,20,True,0,40,1,tidy_all(library),False
2,0,10.140181,1.025012,9.113978,0,18,True,0,40,2,tidy_all(library),False
3,0,17.054299,0.815392,16.238463,0,16,True,0,40,3,tidy_all(library),False
4,0,36.389674,1.176116,35.213014,0,14,True,0,40,4,tidy_all(library),False
5,0,43.461087,0.879944,42.580657,0,12,True,0,40,5,tidy_all(library),False
6,0,2.580325,1.132047,1.44607,0,8,True,0,40,6,tidy_all(library),False
7,0,13.503043,1.135733,12.365114,0,18,True,0,40,7,tidy_all(library),False
8,0,10.519751,0.84822,9.668151,0,18,True,0,40,8,tidy_all(library),False
9,0,15.711872,0.999909,14.710248,0,16,True,0,40,9,tidy_all(library),False
10,0,27.467141,0.906151,26.560414,0,14,True,0,40,10,tidy_all(library),False
11,0,32.328545,1.083544,31.244506,0,12,True,0,40,11,tidy_all(library),False
12,0,2.457736,1.314576,1.142515,0,8,True,0,40,12,tidy_all(library),False
13,0,20.196987,0.902932,19.293506,0,16,True,0,40,13,tidy_all(library),False
14,0,25.162275,0.674361,24.487204,0,16,True,0,40,14,tidy_all(library),False
15,0,31.054372,0.892103,30.161692,0,16,True,0,40,15,tidy_all(library),False
16,0,37.015563,0.738775,36.275568,0,14,True,0,40,16,tidy_all(library),False
17,0,30.052175,0.91863,29.133036,0,12,True,0,40,17,tidy_all(library),False
18,0,8.71184,1.14436,7.566905,0,8,True,0,40,18,tidy_all(library),False
19,0,51.662663,1.057045,50.605154,0,14,True,0,40,19,tidy_all(library),False
20,0,31.962064,0.979078,30.982552,0,14,True,0,40,20,tidy_all(library),False
21,0,38.138646,0.940862,37.197316,0,14,True,0,40,21,tidy_all(library),False
22,0,46.190085,1.220038,44.969523,0,14,True,0,40,22,tidy_all(library),False
23,0,35.298489,0.693537,34.604429,0,12,True,0,40,23,tidy_all(library),False
24,0,2.06475,1.201139,0.863159,0,8,True,0,40,24,tidy_all(library),False
25,0,41.92813,0.739277,41.188098,0,12,True,0,40,25,tidy_all(library),False
26,0,24.652909,1.360727,23.291674,0,12,True,0,40,26,tidy_all(library),False
27,0,36.867704,0.835362,36.0318,0,12,True,0,40,27,tidy_all(library),False
28,0,34.904861,1.265457,33.638962,0,12,True,0,40,28,tidy_all(library),False
29,0,36.334182,1.24723,35.086431,0,12,True,0,40,29,tidy_all(library),False
30,0,1.435173,0.961705,0.472865,0,8,True,0,40,30,tidy_all(library),False
31,0,2.84686,0.908417,1.937885,0,8,True,0,40,31,tidy_all(library),False
32,0,6.262958,0.85358,5.408879,0,8,True,0,40,32,tidy_all(library),False
33,0,6.089522,0.968449,5.120664,0,8,True,0,40,33,tidy_all(library),False
34,0,1.218323,0.709595,0.508326,0,8,True,0,40,34,tidy_all(library),False
35,0,1.375621,0.813608,0.56153,0,8,True,0,40,35,tidy_all(library),False
36,0,0.989372,0.989118,0,0,0,False,0,40,36,tidy_all(library),True
37,0,3.88648,0.805441,3.080556,0,21,True,0,40,37,tidy_all(library),False
38,0,8.769339,1.017837,7.751064,0,19,True,0,40,38,tidy_all(library),False
39,0,14.827783,0.900513,13.926842,0,17,True,0,40,39,tidy_all(library),False
40,0,21.966002,0.843267,21.122336,0,15,True,0,40,40,tidy_all(library),False
41,0,1.044564,1.044255,0,0,13,False,1,40,41,tidy_all(library),False
42,0,1.323346,1.323025,0,0,9,False,1,40,42,tidy_all(library),False
43,0,8.879728,0.903299,7.975952,0,19,True,0,40,43,tidy_all(library),False
44,0,31.533734,0.701891,30.831341,0,17,True,0,40,44,tidy_all(library),False
45,0,60.59114,0.871617,59.718618,0,15,True,0,40,45,tidy_all(library),False
46,0,1.476336,1.476002,0,0,13,False,2,40,46,tidy_all(library),False
47,0,1.171722,1.170165,0,0,13,False,8,40,47,tidy_all(library),False
48,0,1.178895,1.173855,0,0,7,False,2,40,48,tidy_all(library),False
49,0,13.868102,1.146015,12.721539,0,17,True,0,40,49,tidy_all(library),False
50,0,50.540279,0.891377,49.648462,0,15,True,0,40,50,tidy_all(library),False
51,0,83.345541,1.02619,82.318848,0,15,True,0,40,51,tidy_all(library),False
52,0,1.0797,1.079403,0,0,13,False,3,40,52,tidy_all(library),False
53,0,29.667603,1.046072,28.621121,0,11,True,0,40,53,tidy_all(library),False
54,0,1.25731,1.255735,0,0,7,False,3,40,54,tidy_all(library),False
55,0,31.462732,0.88264,30.579009,0,15,True,0,40,55,tidy_all(library),False
56,0,1.131456,1.130685,0,0,13,False,4,40,56,tidy_all(library),False
57,0,1.187994,1.187227,0,0,13,False,5,40,57,tidy_all(library),False
58,0,0.988572,0.988272,0,0,13,False,6,40,58,tidy_all(library),False
59,0,75.980941,1.030521,74.949815,0,11,True,0,40,59,tidy_all(library),False
60,0,1.051552,1.05121,0,0,7,False,6,40,60,tidy_all(library),False
61,0,1.175007,1.174697,0,0,13,False,7,40,61,tidy_all(library),False
62,0,1.200642,1.200338,0,0,13,False,9,40,62,tidy_all(library),False
63,0,44.993636,0.968515,44.024634,0,11,True,0,40,63,tidy_all(library),False
64,0,30.939332,1.424193,29.514674,0,11,True,0,40,64,tidy_all(library),False
65,0,45.251941,0.869869,44.381574,0,11,True,0,40,65,tidy_all(library),False
66,0,3.405262,1.116473,2.288333,0,7,True,0,40,66,tidy_all(library),False
67,0,1.03272,1.032398,0,0,9,False,7,40,67,tidy_all(library),False
68,0,1.107595,1.107323,0,0,7,False,4,40,68,tidy_all(library),False
69,0,1.103191,1.102944,0,0,7,False,5,40,69,tidy_all(library),False
70,0,1.545191,1.029193,0.515503,0,7,True,0,40,70,tidy_all(library),False
71,0,2.722391,0.989227,1.732715,0,7,True,0,40,71,tidy_all(library),False
72,0,1.025127,1.024568,0,0,0,False,0,40,72,tidy_all(library),True
73,0,2.800265,0.964007,1.8358,0,22,True,0,40,73,tidy_all(library),False
74,0,6.029023,0.842547,5.185926,0,20,True,0,40,74,tidy_all(library),False
75,0,11.790406,0.870553,10.919288,0,18,True,0,40,75,tidy_all(library),False
76,0,17.897513,0.99056,16.906414,0,16,True,0,40,76,tidy_all(library),False
77,0,20.978611,1.096472,19.881686,0,14,True,0,40,77,tidy_all(library),False
78,0,17.556704,0.99116,16.565022,0,10,True,0,40,78,tidy_all(library),False
79,0,5.194972,0.960195,4.23417,0,20,True,0,40,79,tidy_all(library),False
80,0,14.211825,1.084215,13.12707,0,18,True,0,40,80,tidy_all(library),False
81,0,36.679719,1.101629,35.577588,0,16,True,0,40,81,tidy_all(library),False
82,0,59.175292,0.842242,58.33255,0,14,True,0,40,82,tidy_all(library),False
83,0,47.22356,0.992866,46.230232,0,12,True,0,40,83,tidy_all(library),False
84,0,4.51388,1.075755,3.437663,0,8,True,0,40,84,tidy_all(library),False
85,0,9.891775,1.148385,8.742914,0,18,True,0,40,85,tidy_all(library),False
86,0,32.376473,0.900016,31.476003,0,16,True,0,40,86,tidy_all(library),False
87,0,122.006624,0.882552,121.123555,0,14,True,0,40,87,tidy_all(library),False
88,0,72.698037,0.922136,71.775438,0,12,True,0,40,88,tidy_all(library),False
89,0,72.546801,0.836665,71.709553,0,10,True,0,40,89,tidy_all(library),False
90,0,2.563146,0.80289,1.758903,0,6,True,0,40,90,tidy_all(library),False
91,0,19.181403,0.832595,18.346558,0,16,True,0,40,91,tidy_all(library),False
92,0,61.385612,0.807628,60.577534,0,14,True,0,40,92,tidy_all(library),False
