Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,0,125.615258,125.61435,0,0,20,False,1,328,1,tidy_all(library),False
2,0,163.775612,163.77488,0,0,18,False,2,328,2,tidy_all(library),False
3,0,130.796304,130.795552,0,0,16,False,3,328,3,tidy_all(library),False
4,0,252.60098,252.600224,0,0,14,False,4,328,4,tidy_all(library),False
5,0,79.829955,79.829214,0,0,12,False,5,328,5,tidy_all(library),False
6,0,278.28715,278.286326,0,0,8,False,3,328,6,tidy_all(library),False
7,0,77.313898,77.313036,0,0,18,False,6,328,7,tidy_all(library),False
8,0,69.540129,69.539375,0,0,18,False,7,328,8,tidy_all(library),False
9,0,294.769967,294.769194,0,0,16,False,8,328,9,tidy_all(library),False
10,0,114.443639,114.442821,0,0,14,False,9,328,10,tidy_all(library),False
11,0,93.222791,93.221949,0,0,12,False,10,328,11,tidy_all(library),False
12,0,115.741791,115.740739,0,0,8,False,8,328,12,tidy_all(library),False
13,0,361.172574,361.171577,0,0,16,False,11,328,13,tidy_all(library),False
14,0,89.54831,89.547458,0,0,16,False,12,328,14,tidy_all(library),False
15,0,93.605563,93.60445,0,0,16,False,13,328,15,tidy_all(library),False
16,0,63.02116,63.020329,0,0,14,False,14,328,16,tidy_all(library),False
17,0,101.65381,101.652542,0,0,12,False,15,328,17,tidy_all(library),False
18,0,209.10581,209.099866,0,0,8,False,14,328,18,tidy_all(library),False
19,0,100.50708,100.506217,0,0,14,False,16,328,19,tidy_all(library),False
20,0,118.853695,118.852941,0,0,14,False,17,328,20,tidy_all(library),False
21,0,51.147349,51.146553,0,0,14,False,18,328,21,tidy_all(library),False
22,0,117.531143,117.530355,0,0,14,False,19,328,22,tidy_all(library),False
23,0,81.227172,81.226294,0,0,12,False,20,328,23,tidy_all(library),False
24,0,155.485451,155.484306,0,0,8,False,20,328,24,tidy_all(library),False
25,0,142.467427,142.466432,0,0,12,False,21,328,25,tidy_all(library),False
26,0,117.01422,117.013367,0,0,12,False,22,328,26,tidy_all(library),False
27,0,185.908933,185.908155,0,0,12,False,23,328,27,tidy_all(library),False
28,0,88.166606,88.165603,0,0,12,False,24,328,28,tidy_all(library),False
29,0,94.80215,94.801349,0,0,12,False,25,328,29,tidy_all(library),False
30,0,90.428014,90.427263,0,0,8,False,26,328,30,tidy_all(library),False
31,0,117.43055,117.429455,0,0,8,False,11,328,31,tidy_all(library),False
32,0,114.727915,114.727099,0,0,8,False,22,328,32,tidy_all(library),False
33,0,147.759079,147.758202,0,0,8,False,18,328,33,tidy_all(library),False
34,0,91.187541,91.186795,0,0,8,False,24,328,34,tidy_all(library),False
35,0,72.260196,72.259428,0,0,8,False,25,328,35,tidy_all(library),False
36,0,9.49506,9.494039,0,0,0,False,0,328,36,tidy_all(library),True
37,0,91.326879,91.321803,0,0,21,False,27,328,37,tidy_all(library),False
38,0,143.852407,143.851583,0,0,19,False,28,328,38,tidy_all(library),False
39,0,57.161583,57.16054,0,0,17,False,29,328,39,tidy_all(library),False
40,0,153.738965,153.73792,0,0,15,False,30,328,40,tidy_all(library),False
41,0,132.201845,132.201094,0,0,13,False,31,328,41,tidy_all(library),False
42,0,223.164914,223.164133,0,0,9,False,31,328,42,tidy_all(library),False
43,0,279.666504,279.665677,0,0,19,False,32,328,43,tidy_all(library),False
44,0,154.133355,154.132479,0,0,17,False,33,328,44,tidy_all(library),False
45,0,274.134825,274.133871,0,0,15,False,34,328,45,tidy_all(library),False
46,0,152.784769,152.783955,0,0,13,False,35,328,46,tidy_all(library),False
