Run, Time Trad, Time ToA, Time First ASP, Time Second ASP, Plan Length Trad, Activity Length ToA, New Activity, Activity Name, Number Activities, Conditions Index, Goal,Goal Holds
1,4.522837,0,0,0,20,0,,,0,1,tidy_all(library),False
2,9.038429,0,0,0,18,0,,,0,2,tidy_all(library),False
3,15.641845,0,0,0,16,0,,,0,3,tidy_all(library),False
4,32.685829,0,0,0,14,0,,,0,4,tidy_all(library),False
5,40.329431,0,0,0,12,0,,,0,5,tidy_all(library),False
6,0.603303,0,0,0,8,0,,,0,6,tidy_all(library),False
7,7.504268,0,0,0,18,0,,,0,7,tidy_all(library),False
8,7.548286,0,0,0,18,0,,,0,8,tidy_all(library),False
9,13.699575,0,0,0,16,0,,,0,9,tidy_all(library),False
10,23.826941,0,0,0,14,0,,,0,10,tidy_all(library),False
11,23.250583,0,0,0,12,0,,,0,11,tidy_all(library),False
12,1.115072,0,0,0,8,0,,,0,12,tidy_all(library),False
13,17.89578,0,0,0,16,0,,,0,13,tidy_all(library),False
14,21.087982,0,0,0,16,0,,,0,14,tidy_all(library),False
15,24.277316,0,0,0,16,0,,,0,15,tidy_all(library),False
16,30.402778,0,0,0,14,0,,,0,16,tidy_all(library),False
17,23.343347,0,0,0,12,0,,,0,17,tidy_all(library),False
18,6.199194,0,0,0,8,0,,,0,18,tidy_all(library),False
19,40.747582,0,0,0,14,0,,,0,19,tidy_all(library),False
20,25.168597,0,0,0,14,0,,,0,20,tidy_all(library),False
21,31.905754,0,0,0,14,0,,,0,21,tidy_all(library),False
22,40.536556,0,0,0,14,0,,,0,22,tidy_all(library),False
23,29.634769,0,0,0,12,0,,,0,23,tidy_all(library),False
24,0.782075,0,0,0,8,0,,,0,24,tidy_all(library),False
25,29.988236,0,0,0,12,0,,,0,25,tidy_all(library),False
26,18.067483,0,0,0,12,0,,,0,26,tidy_all(library),False
27,29.043519,0,0,0,12,0,,,0,27,tidy_all(library),False
28,26.238311,0,0,0,12,0,,,0,28,tidy_all(library),False
29,30.285041,0,0,0,12,0,,,0,29,tidy_all(library),False
30,0.435902,0,0,0,8,0,,,0,30,tidy_all(library),False
31,1.859505,0,0,0,8,0,,,0,31,tidy_all(library),False
32,4.744983,0,0,0,8,0,,,0,32,tidy_all(library),False
33,4.922813,0,0,0,8,0,,,0,33,tidy_all(library),False
34,1.19036,0,0,0,8,0,,,0,34,tidy_all(library),False
35,0.429865,0,0,0,8,0,,,0,35,tidy_all(library),False
36,0.363568,0,0,0,1,0,,,0,36,tidy_all(library),False
37,2.870001,0,0,0,21,0,,,0,37,tidy_all(library),False
38,7.27169,0,0,0,19,0,,,0,38,tidy_all(library),False
39,12.25225,0,0,0,17,0,,,0,39,tidy_all(library),False
40,20.065362,0,0,0,15,0,,,0,40,tidy_all(library),False
41,24.738698,0,0,0,13,0,,,0,41,tidy_all(library),False
42,11.885053,0,0,0,9,0,,,0,42,tidy_all(library),False
43,7.660012,0,0,0,19,0,,,0,43,tidy_all(library),False
44,26.079798,0,0,0,17,0,,,0,44,tidy_all(library),False
45,51.634612,0,0,0,15,0,,,0,45,tidy_all(library),False
46,57.280675,0,0,0,13,0,,,0,46,tidy_all(library),False
47,34.559907,0,0,0,11,0,,,0,47,tidy_all(library),False
48,0.544589,0,0,0,7,0,,,0,48,tidy_all(library),False
49,11.250965,0,0,0,17,0,,,0,49,tidy_all(library),False
50,47.561973,0,0,0,15,0,,,0,50,tidy_all(library),False
51,74.867534,0,0,0,15,0,,,0,51,tidy_all(library),False
52,42.715213,0,0,0,13,0,,,0,52,tidy_all(library),False
53,27.448137,0,0,0,11,0,,,0,53,tidy_all(library),False
54,0.422675,0,0,0,7,0,,,0,54,tidy_all(library),False
55,24.460567,0,0,0,15,0,,,0,55,tidy_all(library),False
56,58.483158,0,0,0,13,0,,,0,56,tidy_all(library),False
57,51.864425,0,0,0,13,0,,,0,57,tidy_all(library),False
58,44.743534,0,0,0,13,0,,,0,58,tidy_all(library),False
59,66.806428,0,0,0,11,0,,,0,59,tidy_all(library),False
60,0.538519,0,0,0,7,0,,,0,60,tidy_all(library),False
61,24.17053,0,0,0,13,0,,,0,61,tidy_all(library),False
62,33.851151,0,0,0,11,0,,,0,62,tidy_all(library),False
63,46.742826,0,0,0,11,0,,,0,63,tidy_all(library),False
64,28.104572,0,0,0,11,0,,,0,64,tidy_all(library),False
65,40.589957,0,0,0,11,0,,,0,65,tidy_all(library),False
66,2.299266,0,0,0,7,0,,,0,66,tidy_all(library),False
67,15.391136,0,0,0,9,0,,,0,67,tidy_all(library),False
68,0.793403,0,0,0,7,0,,,0,68,tidy_all(library),False
69,9.750079,0,0,0,7,0,,,0,69,tidy_all(library),False
70,0.467191,0,0,0,7,0,,,0,70,tidy_all(library),False
71,0.702891,0,0,0,7,0,,,0,71,tidy_all(library),False
72,0.35562,0,0,0,1,0,,,0,72,tidy_all(library),False
73,1.837944,0,0,0,22,0,,,0,73,tidy_all(library),False
74,5.058281,0,0,0,20,0,,,0,74,tidy_all(library),False
75,8.722635,0,0,0,18,0,,,0,75,tidy_all(library),False
76,14.225575,0,0,0,16,0,,,0,76,tidy_all(library),False
77,18.247101,0,0,0,14,0,,,0,77,tidy_all(library),False
78,14.540761,0,0,0,10,0,,,0,78,tidy_all(library),False
79,3.447145,0,0,0,20,0,,,0,79,tidy_all(library),False
80,11.918352,0,0,0,18,0,,,0,80,tidy_all(library),False
81,31.408817,0,0,0,16,0,,,0,81,tidy_all(library),False
82,53.496813,0,0,0,14,0,,,0,82,tidy_all(library),False
83,43.881026,0,0,0,12,0,,,0,83,tidy_all(library),False
84,3.164525,0,0,0,8,0,,,0,84,tidy_all(library),False
85,8.701255,0,0,0,18,0,,,0,85,tidy_all(library),False
86,30.879268,0,0,0,16,0,,,0,86,tidy_all(library),False
87,118.566176,0,0,0,14,0,,,0,87,tidy_all(library),False
88,68.339896,0,0,0,12,0,,,0,88,tidy_all(library),False
89,66.442923,0,0,0,10,0,,,0,89,tidy_all(library),False
90,1.338083,0,0,0,6,0,,,0,90,tidy_all(library),False
91,15.706216,0,0,0,16,0,,,0,91,tidy_all(library),False
92,58.267636,0,0,0,14,0,,,0,92,tidy_all(library),False
93,65.890707,0,0,0,12,0,,,0,93,tidy_all(library),False
94,95.263867,0,0,0,12,0,,,0,94,tidy_all(library),False
95,59.729348,0,0,0,10,0,,,0,95,tidy_all(library),False
