Number Diagnosis, Time, Steps in planning
0, 0, 3
Number Diagnosis, Time, Steps in planning
0, 2, 9
1, 0, 7
Number Diagnosis, Time, Steps in planning
0, 2, 9
1, 0, 5
2, 0, 5
2, 0, 7
3, 0, 4
4, 1, 11
4, 1, 11
4, 2, 6
4, 3, 3
5, 5, 4
Number Diagnosis, Time, Steps in planning
0, 2, 9
1, 0, 5
1, 0, 5
1, 0, 2
2, 0, 1
2, 1, 1
3, 2, 2
3, 4, 3
Number Diagnosis, Time, Steps in planning
0, 0, 3
Number Diagnosis, Time, Steps in planning
0, 2, 9
1, 0, 7
Number Diagnosis, Time, Steps in planning
0, 0, 3
Number Diagnosis, Time, Steps in planning
0, 0, 3
Number Diagnosis, Time, Steps in planning
0, 0, 3
